"","x","y","z"
"BON210-07",-0.206482948966678,0.0927819443950121,-0.145110816684809
"BON325-07",-0.34918363469537,-0.131904523919289,0.141888218886678
"BROMB974-08",-0.356836476156283,-0.134863440106261,0.145254891205078
"CDANS020-05",-0.361688407931468,-0.143746164049745,0.139552368204049
"CDANS021-05",-0.35669255408433,-0.134441683149677,0.150804501845576
"GBIR1651-09",-0.210666244146799,0.0904885115054209,-0.141556120757456
"GBIR1652-09",-0.210666244146799,0.090488511505421,-0.141556120757456
"KBPBK070-08",-0.348529169404055,-0.127164426612344,0.142751722682423
"KBPBK175-08",-0.361221758301797,-0.138182757161321,0.146761117343754
"KBPBK212-08",-0.351877733538184,-0.136684452490657,0.144693727067453
"KBPBK254-08",-0.35348032299245,-0.135170270420547,0.143360545217876
"KBPBK281-08",-0.356836476156283,-0.134863440106261,0.145254891205078
"KBPBU722-06",-0.204761663087285,0.088253986081452,-0.157070576306716
"KBPBU724-06",-0.211674240684738,0.0871879653729768,-0.145237734716933
"BOM151-07",-0.115307582998672,0.159020817298783,-0.0631158216174163
"BOM484-07",-0.224582544168155,0.0283605277744844,0.0972786831672648
"GBIR1653-09",-0.229753843597774,0.0777096243299315,-0.164675357866044
"GBIR1654-09",-0.229753843597775,0.0777096243299316,-0.164675357866044
"GBIR3484-13",-0.133227948138273,0.0458872526638304,0.109944319457272
"KBAR247-06",-0.239171945250461,0.0275727183577443,0.104107125412612
"YIO199-10",-0.116907552474053,0.0972841462207064,-0.00156257198127838
"YIO200-10",-0.15903200163326,0.0704334779527311,-0.00800512100877582
"YIO287-10",-0.346036892667986,-0.178302014200287,0.135258215426445
"YIO348-10",-0.152300573151242,-0.0823878301411115,-0.0821902060080158
"YIO359-10",-0.335355133887082,-0.163316682175408,0.137376148863716
"YIO449-10",-0.343702525562697,-0.169477404903009,0.0836059057814211
"YIO495-10",-0.15903200163326,0.070433477952731,-0.00800512100877575
"YIO496-10",-0.346036892667986,-0.178302014200287,0.135258215426445
"KBPBR005-06",-0.239877765262374,0.110122523495463,-0.148916969616039
"KBPBR010-06",-0.239877765262374,0.110122523495463,-0.148916969616039
"KBPBR014-06",-0.24226664178741,0.114284898084514,-0.144824505204825
"KBPBR016-06",-0.239877765262374,0.110122523495463,-0.148916969616039
"KBPBR037-06",-0.243818587161702,0.0813589641655831,-0.157863393355492
"KBPBR039-06",-0.203227541599283,0.0708130548156655,-0.156805146135413
"KBPBR045-06",-0.239877765262374,0.110122523495463,-0.148916969616039
"KBPBR062-06",-0.232738834812284,0.116903138222778,-0.134719258531345
"KBPBR064-06",-0.206433124165699,0.06805960648307,-0.1599073971947
"KBPZM027-06",-0.237408182338704,0.108395895667222,-0.149280526109275
"YIO112-10",-0.00373816275698019,-0.00454055687093102,-0.0347757704806722
"YIO220-10",-0.203000486013968,0.160389945379316,-0.21759179585893
"YIO361-10",-0.203000486013968,0.160389945379315,-0.21759179585893
"KBPBR078-07",-0.211004678273077,0.0944368874346754,-0.139784533413046
"KBPBR097-07",-0.211004678273077,0.0944368874346753,-0.139784533413046
"KBPBR113-07",-0.203009221500896,0.102694664872076,-0.149638971296914
"KBPBR128-07",-0.210396004680921,0.0949025534271724,-0.14113000520858
"KBPBR245-07",-0.211853784036798,0.095692888254719,-0.139394077791806
"KBPBR268-07",-0.212532924244054,0.0917786948008419,-0.139786048997259
"YIO306-10",-0.225619046641173,0.121981860415025,-0.165506146095419
"YIO604-17",-0.223134560751732,0.120180600442476,-0.16921010930588
"GBIR532-07",-0.249869670772895,0.0428436384283975,-0.172030765833799
"GBIR4691-13",-0.176170847658165,0.0878537847136981,-0.149683785836312
"GBIR4692-13",-0.174296280062099,0.0909931233208989,-0.146076976332149
"GBIR4693-13",-0.211385991393845,0.130962555617648,-0.138383954645739
"GBIR4694-13",-0.17914605584457,0.0852072139598428,-0.152667204673352
"GBIR4695-13",-0.173620302231962,0.0896082713126773,-0.151803976142582
"GBIR4696-13",-0.176284711471734,0.0834877858628401,-0.155308119138304
"GBIR4697-13",-0.176170847658165,0.087853784713698,-0.149683785836312
"GBIR4698-13",-0.211184788897971,0.126933250517237,-0.141481246718094
"GBIR4699-13",-0.17914605584457,0.0852072139598429,-0.152667204673352
"GBIR4700-13",-0.176170847658165,0.087853784713698,-0.149683785836312
"GBIR4701-13",-0.179183220298269,0.0797676904324397,-0.144065017825721
"GBIR4702-13",-0.17914605584457,0.0852072139598429,-0.152667204673352
"GBIR4703-13",-0.179146055844571,0.0852072139598429,-0.152667204673352
"GBIR4704-13",-0.176170847658165,0.087853784713698,-0.149683785836312
"GBIR4705-13",-0.17914605584457,0.085207213959843,-0.152667204673352
"GBIR4706-13",-0.206954869121606,0.122215941580189,-0.14022576345597
"GBIR4707-13",-0.211184788897971,0.126933250517237,-0.141481246718094
"GBIR4708-13",-0.211184788897971,0.126933250517237,-0.141481246718094
"GBIR4709-13",-0.178701628835809,0.0874739418917439,-0.145743737570818
"GBIR4710-13",-0.176170847658165,0.0878537847136981,-0.149683785836312
"GBIR4711-13",-0.173620302231962,0.0896082713126773,-0.151803976142582
"GBIR4712-13",-0.17504129163609,0.0871673113949089,-0.148711343352568
"GBIR4713-13",-0.17914605584457,0.0852072139598432,-0.152667204673352
"GBIR4714-13",-0.17914605584457,0.0852072139598431,-0.152667204673352
"GBIR4715-13",-0.176170847658165,0.0878537847136979,-0.149683785836312
"GBIR4716-13",-0.176170847658165,0.0878537847136982,-0.149683785836312
"GBIR4717-13",-0.176170847658165,0.087853784713698,-0.149683785836312
"GBIR4718-13",-0.209151215900133,0.132672160341322,-0.133311548083448
"GBIR4719-13",-0.176170847658165,0.0878537847136982,-0.149683785836312
