Unnamed: 0,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species,Filename,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW,Apex ratio FW,Apex ratio HW,Tip angle FW (deg),Tip angle HW (deg)
Sundaeschna,-0.5626550326389308,-0.4311128902734288,-0.7053800323840859,Sundaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,2,,,,,,,,,,,,,,,,,,,
Amphiaeschna,0.0593888400694262,-0.9563590981834064,-0.2860948112025629,Amphiaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,,,,,,,,,,,,,,,,,,,
Dromaeschna,0.5653777710464678,-0.7270051911364787,0.3896298603381674,Dromaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,2,,,,,,,,,,,,,,,,,,,
Linaeschna,-0.1873819831767396,0.3337524435810028,0.9238491753443642,Linaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,,,,,,,,,,,,,,,,,,,
Plattycantha,0.1316672248862953,0.9787193191927424,-0.1573919824185353,Plattycantha,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,3,,,,,,,,,,,,,,,,,,,
Zosteraeschna,-0.3310571387810827,0.896346188800398,-0.2948977461512452,Zosteraeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,3,,,,,,,,,,,,,,,,,,,
Agyrtacantha,0.3730451949507807,-0.2365839771825509,-0.897142856107443,Agyrtacantha,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,6,,,,,,,,,,,,,,,,,,,
Oreaeschna,0.4559215787549787,0.3565934978408774,-0.8154609686080482,Oreaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,2,,,,,,,,,,,,,,,,,,,
Austroaeschna,-0.3086049111109144,-0.8885430623295458,0.339491141599096,Austroaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,20,,,,,,,,,,,,,,,,,,,
Telephlebia,-0.8105297433106292,0.2945663113917131,0.5062333685187949,Telephlebia,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,6,,,,,,,,,,,,,,,,,,,
Heliaeschna,-0.967420338629858,0.1078422187675667,0.2290588226997141,Heliaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,11,,,,,,,,,,,,,,,,,,,
Dendroaeschna,0.7012918224154874,0.695350540007261,0.1570904399534701,Dendroaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,,,,,,,,,,,,,,,,,,,
Oligoaeschna,0.8761768552118514,-0.4693281230957332,0.109750768846994,Oligoaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,19,,,,,,,,,,,,,,,,,,,
Spinaeschna,-0.7829947341572144,-0.6154042832826709,0.0905362601360091,Spinaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,2,,,,,,,,,,,,,,,,,,,
Limnetron,0.2273041967111486,0.5181620647406987,0.8245246368794298,Limnetron,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,2,,,,,,,,,,,,,,,,,,,
