,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Ypirangathemis,0.593433776141894,0.803789821653708,-0.0419318010568676,Ypirangathemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Agrionoptera,-0.917303948519715,-0.367796780230013,0.152574553850159,Agrionoptera,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,8
Protorthemis,-0.847135037452247,-0.530491389438605,0.0306775822430491,Protorthemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,4
Pachydiplax,0.879041196419832,-0.45812976829518,-0.131923047260874,Pachydiplax,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Zenithoptera,-0.770537547514938,-0.222381867216328,0.59734260939853,Zenithoptera,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,4
Hydrobasileus,0.131345237665391,-0.604249300797026,-0.785895165418981,Hydrobasileus,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,3
Potamarcha,0.187330680710173,-0.583537337558833,0.790184403629565,Potamarcha,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Rhodothemis,0.97491202253272,-0.0232587955010241,0.221372032454424,Rhodothemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,4
Tauriphila,0.0108606836399628,0.482400802585218,0.875883274880854,Tauriphila,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,5
Pseudothemis,-0.0464107202200161,-0.333579998133758,0.941578690229203,Pseudothemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Diplacina,-0.754183466409747,-0.512602731272203,0.410421416213208,Diplacina,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,28
Gynothemis,-0.3963228837538832,-0.07459923444279667,-0.9150754755939833,Gynothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,4
Nesoxenia,0.9850369711286102,0.16560777038784047,0.0477098721119836,Nesoxenia,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Microtrigonia,-0.7721493511188863,-0.36633207276003626,-0.5192169026852057,Microtrigonia,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,5
Nannodiplax,-0.81373229795515,0.5713461401873307,-0.10678640062138088,Nannodiplax,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Nannothemis,-0.003372347116682972,0.6988704599425695,0.7152403145059612,Nannothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Notolibellula,0.35385642899710923,-0.3977700574799736,0.8465013934009751,Notolibellula,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Akrothemis,-0.6977298529774937,0.3997167296286675,0.5944742116517483,Akrothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Pseudotramea,-0.5278782297397744,-0.7170016206269314,0.4552507557216748,Pseudotramea,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Pacificothemis,-0.0729235183982832,-0.9049360125173195,-0.41925287561765057,Pacificothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Nannophyopsis,0.12327722699984066,0.2804331501341604,-0.9519243528816044,Nannophyopsis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Tyriobapta,0.23367889603372524,-0.378312898953781,-0.8956972278809652,Tyriobapta,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,3
Epithemis,-0.9914811451418462,-0.126002680978094,0.03299186588457811,Epithemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Celebothemis,0.5901904241405822,0.03236730740669829,-0.8066149147294513,Celebothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Palaeothemis,0.5610271127240726,-0.7778616358988186,-0.28316047426380747,Palaeothemis,False,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
