taxId	scientific name	common name
1868731	Sagamichthys schnakenbecki	Schnakenbeck's searsid
1744960	Megastomatohyla pellita	Oaxacan yellow treefrog
762289	Mastacembelus vanderwaali	ocellated spiny eel
142484	Kinosternon flavescens	yellow mud turtle
1633568	Anolis taylori	Taylor's anole
182426	Kaupichthys nuchalis	collared eel
1072471	Cruriraja hulleyi	Cuban leg skate
1463496	Metzia longinasus	longnose lesser-bream
8700	Echis pyramidum	carpet viper
505233	Caffrogobius caffer	banded goby
411517	Turdus libonyana	Kurrichane thrush
1010714	Pomadasys panamensis	Panama grunt
432167	Pseudotolithus elongatus	bobo croaker
57247	Psittacus erithacus	African gray parrot
57247	Psittacus erithacus	grey parrot
254560	Carterornis chrysomela	golden monarch
558709	Gymnura micrura	smooth butterfly ray
33539	Luxilus cornutus	common shiner
109274	Hippocampus abdominalis	big-belly seahorse
459046	Clinocottus embryum	calico sculpin
544413	Chlorurus japanensis	Japanese parrotfish
544413	Chlorurus japanensis	palecheek parrotfish
544413	Chlorurus japanensis	pale bullethead parrotfish
208451	Spilornis cheela	crested serpent eagle
432389	Crossocheilus nigriloba	black-lobe algae eater
2048734	Dibranchus velutinus	velvety batfish
51370	Moroteuthopsis ingens	greater hooked squid
473369	Halosauropsis macrochir	abyssal halosaur
9299	Pseudantechinus macdonnellensis	fat-tailed pseudantechinus
641296	Remora albescens	white suckerfish
143420	Hyperolius tuberilinguis	tinker reed frog
8769	Ovophis okinavensis	himehabu
8769	Ovophis okinavensis	hime-habu
265623	Elaenia albiceps	white-crested Elaenia
278767	Cynoscion virescens	green weakfish
272059	Hyphessobrycon megalopterus	black phantom tetra
13074	Geophagus steindachneri	redhump eartheater
8823	Apteryx haastii	Great spotted kiwi
566407	Synodontis batensoda	upside-down catfish
566407	Synodontis batensoda	upsidedown catfish
566407	Synodontis batensoda	knock-a-knock postmaster
1003695	Callanthias legras	goldie
126679	Leucophaeus atricilla	Laughing gull
1536848	Neurergus derjugini	Kurdistan newt
181443	Zenion japonicum	Japanese zenion
181443	Zenion japonicum	Japanese dory
96882	Amphiprion polymnus	saddleback clownfish
1223610	Sargocentron praslin	dark-striped squirrelfish
270764	Cardioderma cor	heart-nosed bat
55782	Myrmecobius fasciatus	numbat
316367	Apogonichthyoides melas	black cardinalfish
586804	Cirrhilabrus rubriventralis	social wrasse
458576	Genypterus brasiliensis	abadejo
170817	Dalatias licha	kitefin shark
2609487	Acanthurus grammoptilus	finelined surgeonfish
1577983	Strix hylophila	Rusty-barred owl
170234	Emballonura semicaudata	Polynesian sheath-tailed bat
443715	Pseudocaranx wrighti	skipjack trevally
83389	Coryphaenoides longifilis	longfin grenadier
154582	Plethodon fourchensis	Fourche Mountain salamander
1357725	Paramonacanthus pusillus	Sinhalese leatherjacket
1357725	Paramonacanthus pusillus	blackstriped filefish
52122	Calonectris diomedea	Scopoli's shearwater
135766	Macquaria colonorum	estuary perch
1032621	Philesturnus rufusater	Northern saddleback
302051	Icichthys lockingtoni	medusafish
48194	Mugil curema	white mullet
48194	Mugil curema	redeye mullet
48194	Mugil curema	silver mullet
545070	Acanthemblemaria macrospilus	barnacle blenny
1072512	Sinobatis bulbicauda	Western Australian legskate
1154617	Bothragonus swanii	rockhead
9328	Thylogale stigmatica	red-legged pademelon
1041417	Allactaga hotsoni	Hotson's jerboa
228089	Cyclonaias tuberculata	purple wartyback
196749	Catostomus occidentalis	Sacramento sucker
94323	Crassostrea ariakensis	Suminoe oyster
241264	Anampses neoguinaicus	New Guinea wrasse
1562472	Periophthalmus variabilis	dusky-gilled mudskipper
100937	Papio papio	Guinea baboon
100937	Papio papio	baboon
86373	Potamotrygon motoro	South American freshwater stingray
86373	Potamotrygon motoro	ocellate stingray
8869	Cygnus olor	mute swan
452646	Neovison vison	American mink
452646	Neovison vison	mink
9470	Nycticebus coucang	slow loris
1182777	Syngnathus caribbaeus	Caribbean pipefish
332245	Oplurus grandidieri	Grandidier's Madagascar swift
58323	Leucaspius delineatus	sunbleak
857658	Rasbora dusonensis	silver rasbora
857658	Rasbora dusonensis	Myer's silver rasbora
857658	Rasbora dusonensis	rosefin rasbora
857658	Rasbora dusonensis	yellowtail rasbora
260613	Indotestudo forstenii	Travancore tortoise
685772	Crocidura palawanensis	Palawan shrew
31157	Vipera dinniki	Dinnik's viper
399407	Vieja maculicauda	blackbelt cichlid
2578296	Lampadena notialis	Notal lanternfish
586859	Pseudocheilinus tetrataenia	four-lined wrasse
1522407	Bodianus leucosticticus	lined hogfish
143314	Harpadon microchir	mizutengu
123344	Gonichthys tenuiculus	slendertail lanternfish
317485	Halichoeres prosopeion	twotone wrasse
958669	Sholicola albiventris	White-bellied blue robin
958669	Sholicola albiventris	White-bellied shortwing
1003750	Lepidotrigla multispinosa	Indian Ocean spiny gurnard
120848	Melanotaenia batanta	Batanta rainbowfish
723173	Caprimulgus aegyptius	Egyptian mightjar
123796	Tamias townsendii	Townsend's chipmunk
1203428	Rhombosolea plebeia	New Zealand flounder
1203428	Rhombosolea plebeia	sand flounder
9657	Lutra lutra	European river otter
