,x,y,z,class,class_name,color,genus,taxon,seqid
45,-0.11934478401099874,0.540762129597925,0.4913669306661218,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus ascanius,
46,-0.07865967820458945,0.5481097072483188,0.5129696721441193,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus ascanius ascanius,
47,-0.1518574940060356,0.5422747600041319,0.4472132062562181,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus ascanius katangae,
48,-0.1122548094241254,0.5495481032656547,0.4461088457324906,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus ascanius schmidti,
49,-0.41226551360543556,0.5763345821483654,-0.12597031999693042,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus campbelli,
50,-0.12716962063028284,0.5333845013799011,0.3685219821840028,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus cephus,
51,-0.07633445943377731,0.6400909407603966,0.4246410197343751,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus cephus ngottoensis,
52,-0.3712363629345752,0.6650986053981421,-0.013569729840123033,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus denti,
53,0.04439042395710765,0.7486728971479292,-0.1427333890995414,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus diana,
54,0.18696703057319142,0.5958067097253712,0.25783959733283135,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus doggetti,
55,0.04410278010394137,0.5359076222782145,0.5408639041234694,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus erythrogaster,
56,-0.18471116572473034,0.5497645744585837,0.5013181051404257,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus erythrogaster pococki,
57,-0.18685908418170546,0.6337031771853349,0.3783827432927027,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus erythrotis camerunensis,
58,-0.1566971703154353,0.6626396401443229,0.3703039618109339,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus erythrotis erythrotis,
59,-0.11926815221956719,0.7725559497275546,-0.1769814391032338,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus hamlyni,
60,0.21396013075949277,0.6152273604789479,0.26640187591741127,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus kandti,
61,-0.30203803968135917,0.6142944809829,0.3410648487478581,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus lhoesti,
62,0.15935087675213716,0.5661584344462415,0.20399815187229065,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus mitis,
63,0.16978332501083623,0.7479779707639357,0.15810664410863656,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus mitis boutourlinii,
64,0.14887144883809822,0.7087924051604289,0.29447540187784693,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus mitis heymansi,
65,0.2407345732244903,0.6203854834614747,0.41179477283124877,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus mitis mitis,
66,0.19854715151540225,0.6697883420467586,0.3665942010296438,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus mitis opisthostictus,
67,0.2663969844013326,0.6416154775510744,0.3461904781218449,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus mitis stuhlmanni,
68,-0.239504124781059,0.4483631761582024,-0.008816828954071558,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus mona,
69,-0.47298156469140956,0.5842118281440638,0.14538293945322361,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus neglectus,
70,0.08929193120786506,0.6608230224133063,0.30886961159275705,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus nictitans,
71,-0.3307750813461361,0.6852120464249987,-0.0847379328357233,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus nictitans martini,
72,0.02790721125673396,0.7334407925731978,0.2484685410428786,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus nictitans nictitans,
73,-0.032989624109634026,0.5558410598206976,0.5296419552798496,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus petaurista,
74,-0.05080291505493171,0.5077984672169876,0.41035770864069765,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus petaurista petaurista,
75,-0.33826629389746704,0.6526099333053993,-0.16862725014202287,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus pogonias,
76,-0.3886701824378392,0.6524260880161676,-0.14280125254237028,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus pogonias nigripes,
77,-0.4018031463462267,0.6483353435732394,-0.047378325817555335,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus pogonias pogonias,
78,-0.4372594887415979,0.6194858892604884,-0.058968723879969584,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus pogonias schwarzianus,
79,-0.37019040609003023,0.6047994195303138,0.30132886862663144,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus preussi insularis,
80,-0.021852569686989804,0.7953967056669142,-0.04949139426491209,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus roloway,
81,-0.3886577579852689,0.6595670714747736,0.022320138777411007,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus wolfi,
82,-0.15343911973723615,-0.4636862637725463,-0.14523445345263275,9,Others,#BAB0AC,Cheirogaleus,Cheirogaleus crossleyi,
83,-0.08794767293063395,-0.593775609671325,-0.2720961507401636,9,Others,#BAB0AC,Cheirogaleus,Cheirogaleus major,
84,-0.3959551436361786,-0.3551037170262984,0.009615081779311493,9,Others,#BAB0AC,Cheirogaleus,Cheirogaleus medius,
85,-0.5874746998706061,-0.3689332298100934,0.3597805372848116,9,Others,#BAB0AC,Cheirogaleus,Cheirogaleus sibreei,
86,0.5138826279777878,-0.5514015826521,0.14370659109976872,9,Others,#BAB0AC,Cheracebus,Cheracebus lucifer,
87,0.526070864819818,-0.5541188175818719,0.0828171635578131,9,Others,#BAB0AC,Cheracebus,Cheracebus lugens,
88,0.4291861889068179,-0.6361339828043275,0.007942910498985363,9,Others,#BAB0AC,Chiropotes,Chiropotes albinasus,
89,0.2804820862883962,-0.35503104023382037,0.6250039250972499,9,Others,#BAB0AC,Chiropotes,Chiropotes israelita,
90,-0.07089122003222358,0.5129556439331365,0.06552932691037273,7,Chlorocebus,#9A7460,Chlorocebus,Chlorocebus aethiops,
91,-0.14508900131176808,0.7345678664603369,0.0014877376340273272,7,Chlorocebus,#9A7460,Chlorocebus,Chlorocebus aethiops x Chlorocebus pygerythrus,
92,-0.05626165211487393,0.5954227935740907,0.002395992080571724,7,Chlorocebus,#9A7460,Chlorocebus,Chlorocebus cynosuros,
93,-0.2085729436626776,0.7442202940654021,0.07497471843510385,7,Chlorocebus,#9A7460,Chlorocebus,Chlorocebus djamdjamensis,
94,-0.07447999229112089,0.5344439051056222,0.03434283107828089,7,Chlorocebus,#9A7460,Chlorocebus,Chlorocebus pygerythrus,
95,-0.14736810126811378,0.7149495374371657,0.13595301310885205,7,Chlorocebus,#9A7460,Chlorocebus,Chlorocebus sabaeus,
96,-0.1184074019700698,0.6561100661060004,0.06981838375311886,7,Chlorocebus,#9A7460,Chlorocebus,Chlorocebus tantalus,
97,-0.4317618966361769,0.3576815447695136,0.5800978475949886,9,Others,#BAB0AC,Colobus,Colobus angolensis,
98,-0.48167087887942317,0.3833008145784478,0.3881472580706672,9,Others,#BAB0AC,Colobus,Colobus angolensis palliatus,
99,0.5369669631369532,-0.3032735890112455,-0.25796469165901287,9,Others,#BAB0AC,Colobus,Colobus guereza,
100,0.6202373561188222,-0.3209671074628336,-0.3020484436830071,9,Others,#BAB0AC,Colobus,Colobus polykomos,
101,0.7197362153952642,0.09006690498839104,-0.2956245343885201,9,Others,#BAB0AC,Colobus,Colobus satanas,
102,-0.6560334938582103,0.21524533786131267,0.2886361753417726,9,Others,#BAB0AC,Daubentonia,Daubentonia madagascariensis,
