,x,y,z
Alucitidae,63.05304835266881,-73.81080806888244,182.4627198794793
Alydidae,132.44289944671735,-157.2502843006078,-119.60871852940176
Ameletidae,-200.49260526002695,53.583734283336796,-227.1768517463787
Ameletopsidae,-202.62511152202654,34.676040208830855,-228.2610536612386
Amelidae,2.722630027113684,183.8317555361684,-182.47387667857924
Ametropodidae,-178.3455436208039,17.7450108201338,-246.7318188924338
Amorphoscelidae-1,10.222779642670089,161.95665660333123,-199.16449703899826
Amorphoscelidae-2,-14.046223216736696,175.08040833446464,-189.7473811143075
Amorphoscelidae-3,-12.90531012347108,176.20694507174014,-188.9041828025038
Amorphoscelidae-4,-3.9151227320130966,183.07629785996727,-183.32271565331428
Amorphoscelidae-5,37.77115338870709,194.27251189200842,-168.51053794529997
Amphientomidae,244.95158643083576,-52.86751869425067,-12.542898852329179
Amphipsocidae,245.31959447969876,-61.63923078764251,6.394990583206549
Amphizoidae,-202.61034974514465,-48.49566484854492,-27.751786386513263
Amphyipterygidae,-83.62860118437838,-100.40477015144647,-272.82736876384905
Ampulicidae,-126.89415222529387,-198.0050935795332,1.1135143502530342
Anaplectidae,63.67107125589886,221.49416286663114,-129.66028108532655
Anaxyelidae,-185.733330498626,-149.35417421521794,-23.98661172823992
Andesianidae,9.118022009177672,-124.15125087783659,178.69626771854024
Andrenidae,-137.41878112668445,-187.22546485274827,-15.956149631580518
Anisacanthidae,141.5635497824203,73.08558438008224,-205.0848688804463
Anischiidae,-208.91334647026932,-27.689138438340123,15.145597980274493
Anisembiidae,75.59273444038287,45.68579223294929,-242.10350625834977
Anisolabididae,214.62441879093868,73.46672743299662,-144.91119960186998
Anisopodidae,44.48900571445914,165.92445740141503,136.2903872532962
Anobiidae,-213.57542042815655,36.701942743318604,52.08811898397546
Anoeciidae,83.37183342542026,-239.40183620257343,5.164982007229372
Anomalopsychidae-1,-53.761683108219195,-25.00341297365913,219.77236985492507
Anomalopsychidae-2,-39.65520639770426,-14.127733796391826,225.00351354934259
Anomoeotidae,29.499690759113193,-40.57287384192471,214.92045614632366
Anostostomatidae,116.29211416635265,231.32277727436633,-79.9310920602646
Anthelidae,47.19840655007578,-96.31021294338157,184.71601847980733
Anthicidae,-174.3116802144427,97.85048309297534,106.31255384436871
Anthocoridae-1,98.66136690354999,-181.76982300211637,-119.48441088405319
Anthocoridae-2,96.66382809807524,-191.18924172300683,-107.3851171728044
Anthocoridae-3,126.75310285471119,-187.87801336455385,-84.25854346964815
Anthocoridae-4,146.68871401748805,-174.13720413844172,-81.71086654290963
Anthocoridae-5,153.9651327945888,-168.6427271744275,-79.95375905669106
Anthomyiidae,101.27527647185565,135.52302676947602,124.58765964407509
Anthomyzidae,95.96532484422141,122.20990418943606,158.3517476718323
Anthribidae,-163.75055716827399,143.48888530938865,14.015366293955788
Apachyidae,32.31632487601343,25.297779892669983,-254.20918298688105
Apataniidae,-65.66681915648543,-73.15370434171739,204.18902671926398
Apatelodidae,52.310801845631076,-99.24678198507281,176.67356664512408
Aphelinidae,-88.31975090882547,-216.55445851538283,62.89824405215508
Aphelocheiridae,85.86685120819638,-135.46564720578903,-164.34694293847656
Aphididae-1,84.54611520490762,-239.6860581464715,16.034662129948334
Aphididae-2,87.91037859661061,-238.23938971315653,13.010051132977072
