name,x,y,z
Episactidae,-50.07176439771013,-88.12204385138021,-235.49533344089852
Eumastacidae,-56.52116045906564,-89.65538301364833,-233.9432824544384
Euschmidtiidae,-24.107200878502656,-133.23074692691063,-215.53228373733708
Thericleidae,-77.51244920516811,-95.46635668894056,-227.17736601091104
Tetrigidae,-53.20600578580414,-80.01603531817412,-238.24658402885413
Cylindrachetidae,-69.52242957761368,-51.10905070374879,-245.4729883922287
Tridactylidae,-76.1794352069518,-51.15437152429273,-243.89041672267857
Ripipterygidae,-80.72843504830615,-53.15136963194922,-242.18315851385003
Gryllidae-1,-154.33576535938585,-209.5603496932264,-68.03964701869303
Gryllotalpidae,-99.54450566853686,-41.34935393643132,-239.3076867556969
Gryllidae-2,-144.1105575645377,-216.6224436481208,-68.13198536609227
Gryllacrididae,-112.50750000120452,-59.298124016058594,-229.3106075831752
Anostostomatidae,-113.09028401782058,-56.77302218052554,-229.74569086252305
Stenopelmatidae,-146.28703480140123,-203.76995501309548,-91.54186361691302
Rhaphidophoridae,-147.66932961419582,-206.6265016831151,-84.19169625234126
Prophalangopsidae,-151.49173544144242,-206.182566954252,-79.4007629706737
Tettigoniidae,-106.88219470291924,-49.894183702126206,-234.22217256202623
Schizodactylidae,-112.39867893179073,-49.12392400072158,-232.13658106160835
Xyelidae,-33.058140899241494,237.95834930930263,52.98095630453673
Orussidae,151.92468895825158,184.99738556589065,47.17977551726277
Bradynobaenidae,103.06471840128276,212.01244647604605,46.81494595022219
Vespidae,132.21269984154924,196.50799689795767,46.449122207111856
Rhopalosomatidae,132.33600208563013,196.71417377870588,39.55168115859636
Tiphiidae-1,112.02265576866056,207.3426276145296,49.9025582877002
Sierolomorphidae,114.1783619247468,206.6757160615541,45.14940744881996
Thynnidae-1,119.46814292747906,203.14861597133424,52.98814392077203
Tiphiidae-2,119.0685851468229,203.65151121706256,50.29200371680992
Tiphiidae-3,117.054261895006,204.42114217005732,53.02351477219592
Thynnidae-2,123.01387194929062,201.27212122236256,52.52985512227152
Chyphotidae,124.38507976261484,200.9519128222117,47.904717651024654
Pompilidae,118.52685327691492,204.78730618291465,37.08596219017039
Sapygidae,123.06375408597437,202.25648896875924,35.620915151382825
Mutillidae,125.03197909371386,201.09103924044575,38.49624560212275
Scoliidae,130.25981734457312,197.97924405087608,32.350032442926825
Formicidae,127.41306460345864,199.4435304489212,24.949481400483936
Crabronidae-1,118.75770157129338,203.9343459961801,18.977192735279875
Crabronidae-2,111.98539425546686,207.16435504042832,15.7183580770454
Stenotritidae,102.78743072299318,211.73304947708496,16.278810301051028
Colletidae,105.20752021239844,210.60788026468103,16.435241227465628
Halictidae,106.36986290489904,210.556994053487,21.328876120375597
Andrenidae,101.48106646213029,212.95790921381868,22.725320816829505
Melittidae,99.02371333931517,214.2572418709525,27.32295701351904
Megachilidae,98.073882066478,213.8911969150441,16.56862256945091
Apidae,96.62464308481232,214.93003882609247,20.92656031028609
Crabronidae-3,104.33910482535182,211.9253705879812,28.662974886714306
Sphecidae,113.59807905182213,207.1294371224664,23.22699330966612
Ampulicidae,97.58230088943144,214.9555818985602,39.200644002402775
Bethylidae,86.70622326392697,219.07419383611543,21.11855656052245
Plumariidae,87.80868797699499,219.1092480430488,30.202493913458817
Chrysididae,130.18989625379913,196.41637922352987,59.83807306798099
Dryinidae,124.619076086638,200.519034828648,18.40971187612403
Trigonalidae,72.08829655222556,224.098154105303,14.52330894538946
Gasteruptiidae,64.15104462367466,226.54886993565617,19.219871547545047
Aulacidae,61.083331314217325,208.7999329413523,118.00832341249917
Evaniidae,56.5978665347591,210.68179287808883,116.61613394358116
Roproniidae,81.71956985569209,203.66700273247127,113.79637050084266
Pelecinidae,88.02882773909613,202.36124839792748,111.22517771213202
Proctotrupidae,81.35951950243694,206.8633581824114,106.31540699281736
Vanhorniidae,82.66974761294745,207.94735659179,102.22321983902138
Scelionidae-1,69.69268010605028,209.1669215126324,110.55656759977438
Platygastridae,72.34515529322547,207.004377131507,113.6224825585128
Megalyridae,67.10795683443324,226.17582285893863,37.57934160129118
Ibaliidae,100.72052994384316,204.36263219263867,91.35667457545436
Cynipidae-1,100.20348918656109,201.01272587077767,101.74553503780552
Figitidae,101.8844905150112,201.60461950528688,98.0328757820747
Cynipidae-2,96.49860038078477,202.445659837296,102.17765640090674
Liopteridae,94.47888215434855,205.5765638048404,95.77000870587985
Monomachidae,92.85565399758262,210.85484537140704,80.87996394677133
Diapriidae,95.9155436671692,210.1989442588528,78.58878370827236
Chalcididae,41.0293630878942,227.26464131415744,72.5380828501683
Eurytomidae,43.020210152848215,227.0047031536526,71.93963167091636
