,x,y,z,phylum,kingdom,superkingdom,class,phylum_eng,kingdom_eng,superkingdom_eng,class_eng
Fragilariophyceae-3|pennate diatoms,-1862.1115038761627,10195.554206820703,35045.48422052163,Bacillariophyta,,Eukaryota,Fragilariophyceae,diatoms,,eukaryotes,"Araphid, pennate diatoms"
Gastropoda|gastropods,5501.808372763184,-35809.27429681983,-874.4481809708559,Mollusca,Metazoa,Eukaryota,Gastropoda,molluscs,multicellular animals,eukaryotes,gastropods
Geoglossomycetes,35663.273141246405,4873.414104972242,-20127.70244898552,Ascomycota,Fungi,Eukaryota,Geoglossomycetes,ascomycetes,Fungi,eukaryotes,Geoglossomycetes
Ginkgoopsida,-29910.11279881809,13280.81961806244,-21944.6219376182,Streptophyta,Viridiplantae,Eukaryota,Ginkgoopsida,Streptophyta,green plants,eukaryotes,Ginkgoopsida
Glaucocystophyceae|glaucocystophytes,-734.4740558690673,36988.8174301925,-20542.522181381508,,,Eukaryota,Glaucocystophyceae,,,eukaryotes,glaucocystophytes
Glomeromycetes,33135.36192086518,-4329.933842892478,-29381.471569321053,Mucoromycota,Fungi,Eukaryota,Glomeromycetes,Mucoromycota,Fungi,eukaryotes,Glomeromycetes
Gnetopsida,-28371.789403538143,14958.812258085676,-22874.25088815009,Streptophyta,Viridiplantae,Eukaryota,Gnetopsida,Streptophyta,green plants,eukaryotes,Gnetopsida
Gymnolaemata,3426.5939517806823,-40352.43002291765,-7513.834767126209,Bryozoa,Metazoa,Eukaryota,Gymnolaemata,bryozoans,multicellular animals,eukaryotes,Gymnolaemata
Haplomitriopsida,-25688.30933025572,20067.89120406001,-20470.36495123495,Streptophyta,Viridiplantae,Eukaryota,Haplomitriopsida,Streptophyta,green plants,eukaryotes,Haplomitriopsida
Heterotardigrada,11794.35779433293,-34471.27589194228,-20520.357034322253,Tardigrada,Metazoa,Eukaryota,Heterotardigrada,tardigrades,multicellular animals,eukaryotes,Heterotardigrada
Heterotrichea,23582.62828582072,24353.07894899733,23532.302911723986,Ciliophora,,Eukaryota,Heterotrichea,ciliates,,eukaryotes,Heterotrichea
Hexactinellida,24673.3599020738,-31634.378461527274,7327.290071902411,Porifera,Metazoa,Eukaryota,Hexactinellida,sponges,multicellular animals,eukaryotes,Hexactinellida
Hexanauplia,21999.632518709743,-33816.43389919399,-9992.072577912231,Arthropoda,Metazoa,Eukaryota,Hexanauplia,arthropods,multicellular animals,eukaryotes,Hexanauplia
Holothuroidea|sea cucumbers,-5691.189425221838,-34389.022035411435,-13190.501656175846,Echinodermata,Metazoa,Eukaryota,Holothuroidea,echinoderms,multicellular animals,eukaryotes,sea cucumbers
Homoscleromorpha,6940.352342881447,-29012.94137384884,-28230.49789014708,Porifera,Metazoa,Eukaryota,Homoscleromorpha,sponges,multicellular animals,eukaryotes,Homoscleromorpha
Hydrozoa|hydrozoans,20346.296692318487,-33292.43119549794,6100.89476518624,Cnidaria,Metazoa,Eukaryota,Hydrozoa,coelenterates,multicellular animals,eukaryotes,hydrozoans
