,x,y,z,order,name,name_eng,order_eng
Phocoenidae,-510.3275227654138,-31625.05149430756,-22988.85457971118,Artiodactyla,Phocoenidae,porpoises,"whales, hippos, ruminants, pigs, camels etc."
Monodontidae,-511.4100720736682,-31624.265039594327,-22988.999653507075,Artiodactyla,Monodontidae,narwhal and beluga,"whales, hippos, ruminants, pigs, camels etc."
Physeteridae,-509.9628208880487,-31624.760051879923,-22988.015294501653,Artiodactyla,Physeteridae,sperm whales,"whales, hippos, ruminants, pigs, camels etc."
Ziphiidae,-511.071396049071,-31624.04798832894,-22989.85997647926,Artiodactyla,Ziphiidae,beaked whales,"whales, hippos, ruminants, pigs, camels etc."
Lipotidae,-509.9415428532124,-31624.088738885424,-22987.529795479128,Artiodactyla,Lipotidae,Lipotidae,"whales, hippos, ruminants, pigs, camels etc."
Pontoporiidae,-510.9645176632814,-31623.789864047736,-22987.747471882143,Artiodactyla,Pontoporiidae,La Plata dolphin,"whales, hippos, ruminants, pigs, camels etc."
Iniidae,-510.2431983361032,-31623.27444224055,-22987.58568032605,Artiodactyla,Iniidae,Iniidae,"whales, hippos, ruminants, pigs, camels etc."
Eschrichtiidae,-511.45556450640777,-31623.029054871902,-22988.675266797545,Artiodactyla,Eschrichtiidae,gray whales,"whales, hippos, ruminants, pigs, camels etc."
Balaenopteridae,-511.2970192888808,-31623.06654437984,-22989.501551602734,Artiodactyla,Balaenopteridae,rorquals,"whales, hippos, ruminants, pigs, camels etc."
Balaenidae,-510.9603697952103,-31622.59915146797,-22988.995692802466,Artiodactyla,Balaenidae,right whales,"whales, hippos, ruminants, pigs, camels etc."
Neobalaenidae,-510.8647271134665,-31622.59869061573,-22988.24343453566,Artiodactyla,Neobalaenidae,Neobalaenidae,"whales, hippos, ruminants, pigs, camels etc."
Hippopotamidae,-508.92477990637474,-31621.8548599164,-22987.10936460349,Artiodactyla,Hippopotamidae,hippopotamids,"whales, hippos, ruminants, pigs, camels etc."
Tupaiidae,-442.5324146345248,-31646.71918638931,-23050.74188742923,Scandentia,Tupaiidae,tree shrews,tree shrews
Lemuridae,-457.8889293122748,-31679.145700802703,-23026.92487816277,Primates,Lemuridae,lemurs,Primates
Indriidae,-456.8377911634785,-31677.781569945186,-23028.10579392071,Primates,Indriidae,Indriidae,Primates
Lepilemuridae,-458.0097142075032,-31678.18824870583,-23027.87601427605,Primates,Lepilemuridae,Sportive lemurs,Primates
Cheirogaleidae,-456.8112256423877,-31679.407923316125,-23026.21304349427,Primates,Cheirogaleidae,dwarf and mouse lemurs,Primates
Paleopropithecidae,-456.15623566530127,-31678.670818228187,-23027.189039355897,Primates,Paleopropithecidae,sloth lemurs,Primates
Daubentoniidae,-454.8104446732471,-31678.533722116168,-23024.384142325383,Primates,Daubentoniidae,aye-ayes,Primates
Lorisidae,-454.9533666608596,-31675.58370470477,-23027.4656647829,Primates,Lorisidae,lorises,Primates
Galagidae,-454.1809170217457,-31676.383195665687,-23026.313748634504,Primates,Galagidae,galagos,Primates
Cebidae,-457.8407967862908,-31674.45134337405,-23024.26078247917,Primates,Cebidae,capuchin and squirrel monkeys,Primates
Aotidae,-457.8178234763641,-31674.92665448645,-23023.623346619814,Primates,Aotidae,owl monkeys,Primates
Pitheciidae,-457.2576464004531,-31675.37772784729,-23023.23840051965,Primates,Pitheciidae,Pitheciidae,Primates
Atelidae,-457.14822558998026,-31674.69591666467,-23023.80679926325,Primates,Atelidae,Atelidae,Primates
Cercopithecidae,-459.75039562367,-31675.75576692851,-23024.64781027208,Primates,Cercopithecidae,Old World monkeys,Primates
Hylobatidae,-459.4729274815925,-31676.578650792824,-23023.84108070618,Primates,Hylobatidae,lesser apes,Primates
Hominidae,-458.9941713389112,-31676.855479109297,-23023.36564379256,Primates,Hominidae,great apes,Primates
Tarsiidae,-458.6846246312901,-31674.17583234211,-23027.90225310236,Primates,Tarsiidae,tarsiers,Primates
Cynocephalidae,-473.50246289801714,-31614.751543899714,-23002.69506361313,Dermoptera,Cynocephalidae,colugos,flying lemurs
Ochotonidae,-450.58388055029,-31623.592966111864,-23027.43396122113,Lagomorpha,Ochotonidae,pikas,Rabbits and pikas
Leporidae,-454.3900000648128,-31623.454026940213,-23032.73041140414,Lagomorpha,Leporidae,rabbits and hares,Rabbits and pikas
Hystricidae,-456.99368225633583,-31645.29629866113,-23003.66366903961,Rodentia,Hystricidae,Old World porcupines,rodent
Caviidae,-456.47096441351954,-31646.193552651464,-23004.220916900555,Rodentia,Caviidae,cavies,rodent
Hydrochaeridae,-458.25434009001054,-31644.24541750048,-23004.53058694769,Rodentia,Hydrochaeridae,Capybara,rodent
Chinchillidae,-456.4903627034861,-31645.208996309128,-23004.82445632074,Rodentia,Chinchillidae,chinchillas,rodent
Myocastoridae,-458.1641469241012,-31644.213667043303,-23005.477796589217,Rodentia,Myocastoridae,Myocastoridae,rodent
Octodontidae,-458.1479026368355,-31645.566963408182,-23005.11783026196,Rodentia,Octodontidae,Octodontidae,rodent
Echimyidae,-457.0772719150579,-31646.91447094329,-23004.019144314552,Rodentia,Echimyidae,American spiny rats,rodent
Ctenodactylidae,-457.481000189096,-31645.56177692572,-23006.54836767281,Rodentia,Ctenodactylidae,gundis,rodent
Bathyergidae,-458.0615282380737,-31644.74919140322,-23003.690679177165,Rodentia,Bathyergidae,African mole-rats,rodent
Capromyidae,-456.7654805133303,-31647.112019897893,-23004.856970448414,Rodentia,Capromyidae,hutias,rodent
Ctenomyidae,-457.3431998891038,-31646.31572842328,-23003.413831780068,Rodentia,Ctenomyidae,tuco-tucos,rodent
Dasyproctidae,-457.8142134027743,-31644.709793827413,-23006.262855052984,Rodentia,Dasyproctidae,agoutis and pacas,rodent
Erethizontidae,-457.05093967424665,-31646.38412635223,-23006.352633654355,Rodentia,Erethizontidae,New World porcupines,rodent
Thryonomyidae,-456.9746888832244,-31647.00072364136,-23005.732019543448,Rodentia,Thryonomyidae,cane rats,rodent
Petromuridae,-457.2845105148906,-31644.399591291924,-23004.34590835029,Rodentia,Petromuridae,dassie rat,rodent
Abrocomidae,-457.8763759879712,-31645.598378850274,-23003.344755507795,Rodentia,Abrocomidae,Chinchilla rat,rodent
Dinomyidae,-457.155665147088,-31644.410994928745,-23005.505715390354,Rodentia,Dinomyidae,pacarana,rodent
Laonastidae,-456.35156509438514,-31646.282203632785,-23005.42667994134,Rodentia,Laonastidae,Laotian rock rat,rodent
Cuniculidae,-456.6847970606317,-31645.35570880794,-23006.031952481622,Rodentia,Cuniculidae,paca,rodent
Gliridae,-460.62973576956034,-31646.636190952588,-23007.63229194942,Rodentia,Gliridae,dormice,rodent
Aplodontiidae,-459.8325337686791,-31645.66555319216,-23008.199966333912,Rodentia,Aplodontiidae,Mountain beaver,rodent
Sciuridae,-459.0594349500967,-31647.57289284827,-23008.118899715693,Rodentia,Sciuridae,squirrels,rodent
Geomyidae,-460.9907732118568,-31643.95005549422,-23003.91989428405,Rodentia,Geomyidae,pocket gophers,rodent
Heteromyidae,-461.5140207117297,-31645.343752508325,-23003.61240244079,Rodentia,Heteromyidae,Heteromyidae,rodent
Castoridae,-460.34814934534944,-31645.732581570555,-23002.108562270307,Rodentia,Castoridae,beavers,rodent
Muridae,-459.159228477722,-31649.19004873436,-23004.23967421778,Rodentia,Muridae,Muridae,rodent
Spalacidae,-460.85224230312974,-31647.81781089584,-23003.72884269746,Rodentia,Spalacidae,Spalacidae,rodent
Calomyscidae,-460.49854074541344,-31648.44383838118,-23005.84927526936,Rodentia,Calomyscidae,Mouse-like hamsters,rodent
Nesomyidae,-461.2645095971808,-31647.65608611623,-23005.028379453088,Rodentia,Nesomyidae,Nesomyidae,rodent
Cricetidae,-459.8043407931845,-31648.41224124516,-23003.16825609114,Rodentia,Cricetidae,Cricetidae,rodent
Platacanthomyidae,-460.2595092993913,-31648.748019678755,-23004.653890103305,Rodentia,Platacanthomyidae,Oriental dormice,rodent
Dipodidae,-459.0670980475596,-31649.20477581477,-23005.936625263246,Rodentia,Dipodidae,jerboas,rodent
Pedetidae,-461.5790647532662,-31645.05648209072,-23006.07027683312,Rodentia,Pedetidae,springhares,rodent
Anomaluridae,-460.940181175281,-31644.083014547617,-23006.443239059896,Rodentia,Anomaluridae,scaly-tailed squirrels,rodent
