,x,y,z,order,name
Tayassuidae,-508.89100332188616,-31620.409604179353,-22989.555079095262,Artiodactyla,Tayassuidae
Platanistidae,-510.7406154070445,-31624.77212459999,-22989.546969392162,Artiodactyla,Platanistidae
Delphinidae,-510.8625536785199,-31624.64614764007,-22988.225603625655,Artiodactyla,Delphinidae
Phocoenidae,-510.3275227654138,-31625.051494307558,-22988.85457971118,Artiodactyla,Phocoenidae
Monodontidae,-511.4100720736682,-31624.265039594327,-22988.999653507075,Artiodactyla,Monodontidae
Physeteridae,-509.96282088804867,-31624.760051879923,-22988.015294501653,Artiodactyla,Physeteridae
Ziphiidae,-511.071396049071,-31624.04798832894,-22989.85997647926,Artiodactyla,Ziphiidae
Lipotidae,-509.94154285321235,-31624.088738885424,-22987.529795479128,Artiodactyla,Lipotidae
Pontoporiidae,-510.9645176632814,-31623.789864047736,-22987.747471882143,Artiodactyla,Pontoporiidae
Iniidae,-510.24319833610315,-31623.27444224055,-22987.585680326054,Artiodactyla,Iniidae
Eschrichtiidae,-511.45556450640777,-31623.029054871906,-22988.675266797545,Artiodactyla,Eschrichtiidae
Balaenopteridae,-511.2970192888808,-31623.06654437984,-22989.501551602738,Artiodactyla,Balaenopteridae
Balaenidae,-510.9603697952103,-31622.59915146797,-22988.995692802462,Artiodactyla,Balaenidae
Neobalaenidae,-510.86472711346653,-31622.598690615734,-22988.24343453566,Artiodactyla,Neobalaenidae
Hippopotamidae,-508.92477990637474,-31621.8548599164,-22987.109364603486,Artiodactyla,Hippopotamidae
Tupaiidae,-442.5324146345248,-31646.71918638931,-23050.74188742923,Scandentia,Tupaiidae
Lemuridae,-457.8889293122748,-31679.145700802703,-23026.92487816277,Primates,Lemuridae
Indriidae,-456.8377911634785,-31677.781569945186,-23028.10579392071,Primates,Indriidae
Lepilemuridae,-458.0097142075032,-31678.18824870583,-23027.87601427605,Primates,Lepilemuridae
Cheirogaleidae,-456.81122564238774,-31679.407923316125,-23026.21304349427,Primates,Cheirogaleidae
Paleopropithecidae,-456.15623566530127,-31678.670818228187,-23027.189039355897,Primates,Paleopropithecidae
Daubentoniidae,-454.8104446732471,-31678.533722116168,-23024.384142325383,Primates,Daubentoniidae
Lorisidae,-454.9533666608596,-31675.58370470477,-23027.4656647829,Primates,Lorisidae
Galagidae,-454.1809170217457,-31676.383195665687,-23026.313748634504,Primates,Galagidae
Cebidae,-457.8407967862908,-31674.45134337405,-23024.260782479174,Primates,Cebidae
Aotidae,-457.8178234763641,-31674.926654486455,-23023.623346619814,Primates,Aotidae
Pitheciidae,-457.2576464004531,-31675.37772784729,-23023.23840051965,Primates,Pitheciidae
Atelidae,-457.14822558998026,-31674.69591666467,-23023.806799263246,Primates,Atelidae
Cercopithecidae,-459.75039562367,-31675.75576692851,-23024.64781027208,Primates,Cercopithecidae
Hylobatidae,-459.47292748159254,-31676.578650792824,-23023.84108070618,Primates,Hylobatidae
Hominidae,-458.9941713389112,-31676.855479109297,-23023.36564379256,Primates,Hominidae
Tarsiidae,-458.6846246312901,-31674.17583234211,-23027.902253102362,Primates,Tarsiidae
Cynocephalidae,-473.50246289801714,-31614.751543899714,-23002.69506361313,Dermoptera,Cynocephalidae
Ochotonidae,-450.58388055029,-31623.592966111864,-23027.433961221126,Lagomorpha,Ochotonidae
Leporidae,-454.39000006481274,-31623.454026940213,-23032.73041140414,Lagomorpha,Leporidae
Hystricidae,-456.99368225633583,-31645.296298661135,-23003.663669039615,Rodentia,Hystricidae
Caviidae,-456.47096441351954,-31646.193552651464,-23004.220916900555,Rodentia,Caviidae
Hydrochaeridae,-458.25434009001054,-31644.245417500482,-23004.53058694769,Rodentia,Hydrochaeridae
Chinchillidae,-456.49036270348614,-31645.208996309128,-23004.82445632074,Rodentia,Chinchillidae
Myocastoridae,-458.16414692410115,-31644.213667043303,-23005.477796589217,Rodentia,Myocastoridae
Octodontidae,-458.1479026368355,-31645.566963408182,-23005.117830261956,Rodentia,Octodontidae
Echimyidae,-457.0772719150579,-31646.91447094329,-23004.019144314552,Rodentia,Echimyidae
Ctenodactylidae,-457.48100018909594,-31645.561776925722,-23006.548367672814,Rodentia,Ctenodactylidae
Bathyergidae,-458.0615282380737,-31644.74919140322,-23003.690679177165,Rodentia,Bathyergidae
Capromyidae,-456.76548051333026,-31647.112019897893,-23004.856970448418,Rodentia,Capromyidae
Ctenomyidae,-457.3431998891038,-31646.31572842328,-23003.413831780068,Rodentia,Ctenomyidae
Dasyproctidae,-457.81421340277427,-31644.709793827413,-23006.262855052984,Rodentia,Dasyproctidae
Erethizontidae,-457.05093967424665,-31646.38412635223,-23006.352633654355,Rodentia,Erethizontidae
Thryonomyidae,-456.97468888322436,-31647.000723641362,-23005.732019543448,Rodentia,Thryonomyidae
Petromuridae,-457.2845105148906,-31644.399591291924,-23004.34590835029,Rodentia,Petromuridae
Abrocomidae,-457.8763759879712,-31645.598378850274,-23003.344755507795,Rodentia,Abrocomidae
Dinomyidae,-457.155665147088,-31644.410994928745,-23005.505715390354,Rodentia,Dinomyidae
Laonastidae,-456.35156509438514,-31646.282203632785,-23005.42667994134,Rodentia,Laonastidae
Cuniculidae,-456.6847970606317,-31645.35570880794,-23006.031952481622,Rodentia,Cuniculidae
Gliridae,-460.62973576956034,-31646.636190952588,-23007.63229194942,Rodentia,Gliridae
Aplodontiidae,-459.83253376867907,-31645.665553192157,-23008.199966333912,Rodentia,Aplodontiidae
