,x,y,z,genus,family,superfamily,suborder,order,nb_species
Inpabasis,0.816769409619921,0.157553496147806,-0.555035699176845,Inpabasis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,5
Austroagrion,-0.379756483460954,0.879275237329511,0.287506643903235,Austroagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,5
Austrocoenagrion,-0.0445290997296424,0.372111391545633,-0.927119340516225,Austrocoenagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Bromeliagrion,0.856869169891179,-0.452924985834385,0.246240091977167,Bromeliagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Epipleoneura,0.204618678675163,0.699986632760511,-0.684214812974575,Epipleoneura,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,30
Anomisma,0.0012754668362763,-0.0031067213014834,0.999994360717651,Anomisma,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Erythromma,-0.770683529016105,0.628722198614629,0.103707738729901,Erythromma,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Forcepsioneura,0.619029131671471,0.777427896893035,0.111394790158863,Forcepsioneura,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,13
Stenagrion,-0.272874951138238,0.727823531366021,-0.629136049063475,Stenagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Amazoneura,0.510160764974121,0.823313018833643,-0.248780358750552,Amazoneura,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Franciscagrion,-0.534987754378559,0.0587735578693739,-0.842813011029351,Franciscagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Papuagrion,0.65282080359694,-0.549261086923027,-0.521667764753756,Papuagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,29
Idioneura,0.203747945254196,-0.638276154712809,0.742354581806917,Idioneura,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Argentagrion,-0.831532169891173,-0.118702465373916,-0.542645349330695,Argentagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Xanthocnemis,-0.149283237656989,-0.0026249524548098,-0.988790991352195,Xanthocnemis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Coryphagrion,0.188645336942232,-0.263199486702215,-0.946117839938368,Coryphagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Archibasis,0.0706252535554467,0.832703520337315,0.549196613953575,Archibasis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,9
