,x,y,z,genus,family,superfamily,suborder,order,nb_species
Notogomphus,0.637563007818533,-0.373476421410988,-0.673816572749163,Notogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,20
Lanthus,-0.488088962936955,-0.25059622755888,-0.83604467284493,Lanthus,Gomphidae,Gomphoidea,Anisoptera,Odonata,3
Gomphidia,-0.840227809136954,0.0720288792481915,0.537428199210987,Gomphidia,Gomphidae,Gomphoidea,Anisoptera,Odonata,21
Cyclogomphus,0.362341900876899,-0.166521131808272,0.917049104208824,Cyclogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,5
Anisogomphus,0.443112167149499,-0.682586020787166,-0.581143641064769,Anisogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,15
Isomma,-0.969017648244634,-0.0836949105724795,-0.232378913274641,Isomma,Gomphidae,Gomphoidea,Anisoptera,Odonata,3
Agriogomphus,-0.877499911431699,-0.378207064644575,0.294878486313081,Agriogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,4
Austrogomphus,-0.218870211926985,-0.848747510968061,-0.481376664324889,Austrogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,15
Neogomphus,0.0904404237968103,0.9606926917813,0.262469201434099,Neogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,3
Heliogomphus,-0.215300896034037,-0.176059574957471,0.96054596466423,Heliogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,21
Orientogomphus,-0.13117956252033,-0.554179760103661,0.82199556925109,Orientogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,7
Nepogomphoides,0.498934913787371,-0.412103575715283,-0.762387430829409,Nepogomphoides,Gomphidae,Gomphoidea,Anisoptera,Odonata,1
Lindenia,-0.649458664948273,0.0342822778805459,0.759623701543684,Lindenia,Gomphidae,Gomphoidea,Anisoptera,Odonata,1
Hagenius,-0.773685347727573,-0.0220808780909499,-0.633185136855247,Hagenius,Gomphidae,Gomphoidea,Anisoptera,Odonata,1
Ceratogomphus,-0.476396411463861,-0.810154709529717,-0.341607678150207,Ceratogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,2
Cyanogomphus,0.196628511231021,0.423113042725788,0.884484359186977,Cyanogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,3
Merogomphus,0.858830820413969,-0.512255493354603,-0.0019827846834216,Merogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,7
Phyllogomphoides,-0.371329274205135,0.735598477526105,0.566576958567469,Phyllogomphoides,Gomphidae,Gomphoidea,Anisoptera,Odonata,47
Sieboldius,-0.194407909752978,-0.512919556683517,-0.836133418179815,Sieboldius,Gomphidae,Gomphoidea,Anisoptera,Odonata,8
Dromogomphus,0.996722916814062,-0.0665169911126408,0.046031695504167,Dromogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,3
Macrogomphus,-0.275928085165647,0.911367183090632,-0.305407186232195,Macrogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,15
Arigomphus,0.872892639376588,-0.0798269342030237,0.481337823880401,Arigomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,7
Microgomphus,0.0893438521437427,0.95497603356594,-0.282910677420953,Microgomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,17
Neurogomphus,0.465593820335602,-0.864574846083709,-0.189031029158257,Neurogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,14
Shaogomphus,0.714552000425229,0.186125990378427,0.674368263187076,Shaogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,3
Octogomphus,-0.235256287100987,-0.0821862813776384,-0.968452319183951,Octogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,1
Hylogomphus,0.920277847409159,0.389497044063768,0.0371582592911921,Hylogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,6
Stenogomphurus,0.832509312036412,0.380081898735413,0.403070707973605,Stenogomphurus,Gomphidae,Gomphoidea,Anisoptera,Odonata,2
Anormogomphus,0.724214508877161,0.260636800047927,-0.63842133704364,Anormogomphus,Gomphidae,Gomphoidea,Anisoptera,Odonata,3
