,x0,xup,y0,yup,z0,zup
branch_37,0.3732173848758482,0.37729632095656307,-0.11109224039936741,-0.0700503332775128,-0.024317283041052084,-0.024490677837071203
branch_Cariamidae,0.4233968335638499,0.37729632095656307,-0.04489974544711482,-0.0700503332775128,-0.027409418245775516,-0.024490677837071203
branch_38,0.28493751964420816,0.3323397348525561,0.31015476084907245,0.24487675505639722,-0.034034658228665644,0.06522950401016668
branch_Gaviidae,0.6625011233302428,0.3323397348525561,0.30537483999784787,0.24487675505639722,0.2941185145158749,0.06522950401016668
branch_Eurypygiformes,0.34040411911999,0.19209252252401735,0.521315672629636,0.28439729166908784,-0.2883455832386605,-0.18512933162780051
branch_Phaethontidae,0.47613953389949615,0.19209252252401735,0.6803004859965354,0.28439729166908784,-0.5153094250102208,-0.18512933162780051
branch_39,0.2319409687715957,0.27013521890843106,0.2887979013580407,0.282758054119524,0.3189597474495268,0.24372598186486588
branch_40,0.3796419076271152,0.27013521890843106,0.3453985122444474,0.282758054119524,0.2186157095782569,0.24372598186486588
branch_Burhinidae,0.17214459002599009,0.12702067112049423,0.8707182249152038,0.3937871580198154,0.46066770719908356,0.1489989771675492
branch_41,0.23862688612387076,0.12702067112049423,0.46142503481740554,0.3937871580198154,0.12152067582565737,0.1489989771675492
branch_Chionididae,0.2374090975306473,0.12702067112049423,0.918741779029594,0.3937871580198154,0.31551416355844836,0.1489989771675492
branch_42,0.22209563357940343,0.13062704595132046,0.15289639042628858,0.13165929828476777,0.5598448574216236,0.402102599441964
branch_Psophiidae,0.23074358131027892,0.13062704595132046,0.346555944775505,0.13165929828476777,0.9092059524614649,0.402102599441964
branch_Rallidae,0.47861158037047097,0.3270359789261083,0.2104984846849981,0.15742249406185194,0.4658315350002746,0.40303308757106865
branch_Heliornithidae,0.5148456961026614,0.3270359789261083,0.27622538329931956,0.15742249406185194,0.8115615628875444,0.40303308757106865
branch_Apodiformes,0.01318553226465043,0.02450609571352055,0.37448997899102787,0.3722767910639018,-0.1330929897929928,-0.09043210730582152
