x,y,z,phylum,kingdom,superkingdom,class,phylum_eng,kingdom_eng,superkingdom_eng,class_eng
-0.177715748,0.916250322,-0.359029887,,,Eukaryota,Cryptophyceae,,,eukaryotes,cryptomonads
0.465360728,-0.663538141,0.585795637,Cnidaria,Metazoa,Eukaryota,Cubozoa,coelenterates,multicellular animals,eukaryotes,box jellyfishes
-0.756490246,0.519733146,-0.396988621,Streptophyta,Viridiplantae,Eukaryota,Cycadopsida,Streptophyta,green plants,eukaryotes,cycads
0.549080324,-0.030295628,-0.835220314,Basidiomycota,Fungi,Eukaryota,Dacrymycetes,basidiomycetes,Fungi,eukaryotes,Dacrymycetes
0.775356019,-0.533457222,0.338003603,Porifera,Metazoa,Eukaryota,Demospongiae,sponges,multicellular animals,eukaryotes,Demospongiae
0.026319471,0.127840901,0.991445404,,,Eukaryota,Dictyochophyceae,,,eukaryotes,silicoflagellates
0.289531484,0.397750222,0.870612589,,,Eukaryota,Dinophyceae,,,eukaryotes,dinophytes
0.35286834,-0.699236027,-0.621733796,Arthropoda,Metazoa,Eukaryota,Diplopoda,arthropods,multicellular animals,eukaryotes,millipede
0.829079349,0.045375658,-0.557286714,Ascomycota,Fungi,Eukaryota,Dothideomycetes,ascomycetes,Fungi,eukaryotes,Dothideomycetes
-0.956995287,-0.165878268,0.238000883,Tubulinea,,Eukaryota,Echinamoebida,Tubulinea,,eukaryotes,Echinamoebida
-0.517377971,-0.745812353,-0.419623605,Echinodermata,Metazoa,Eukaryota,Echinoidea,echinoderms,multicellular animals,eukaryotes,sea urchin
-0.694292048,-0.25162685,0.674271815,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
-0.892471102,-0.199077462,0.404800564,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
-0.879853398,-0.19756435,0.432234111,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
-0.85868435,-0.222792332,0.461546059,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
-0.82802672,-0.240286136,0.506590884,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
-0.85140993,-0.15956298,0.499640658,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
-0.794436647,-0.244950925,0.555760252,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
-0.769257677,-0.241948847,0.591357237,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
0.170732224,0.326785942,-0.92954906,Mucoromycota,Fungi,Eukaryota,Endogonomycetes,Mucoromycota,Fungi,eukaryotes,Endogonomycetes
-0.202207777,-0.978073569,0.049840836,Nemertea,Metazoa,Eukaryota,Enopla,ribbon worms,multicellular animals,eukaryotes,Enopla
0.748553575,-0.637356083,0.182879113,Nematoda,Metazoa,Eukaryota,Enoplea,roundworms,multicellular animals,eukaryotes,Enoplea
-0.406671957,-0.784914453,-0.467468951,Hemichordata,Metazoa,Eukaryota,Enteropneusta,hemichordates,multicellular animals,eukaryotes,acorn worms
0.21257959,-0.272597533,-0.938349883,Zoopagomycota,Fungi,Eukaryota,Entomophthoromycetes,Zoopagomycota,Fungi,eukaryotes,Entomophthoromycetes
-0.113903566,-0.98387215,-0.13791871,Entoprocta,Metazoa,Eukaryota,Entoprocta,nodding heads,multicellular animals,eukaryotes,nodding heads
-0.10511437,-0.067705944,0.992152647,Euglenozoa,,Eukaryota,Euglenida,Euglenozoa,,eukaryotes,euglenophytes
0.641823038,0.189277885,0.743126551,Evosea,,Eukaryota,Eumycetozoa,Evosea,,eukaryotes,Eumycetozoa
-0.286096531,-0.937923252,-0.196083522,Rotifera,Metazoa,Eukaryota,Eurotatoria,rotifers,multicellular animals,eukaryotes,Eurotatoria
0.886485596,0.153887904,-0.436419295,Ascomycota,Fungi,Eukaryota,Eurotiomycetes,ascomycetes,Fungi,eukaryotes,Eurotiomycetes
-0.227237436,0.815953304,0.531585697,,,Eukaryota,Eustigmatophyceae,,,eukaryotes,eustigmatophytes
0.619087104,-0.734529986,0.277843225,Tardigrada,Metazoa,Eukaryota,Eutardigrada,tardigrades,multicellular animals,eukaryotes,Eutardigrada
0.519238916,0.526733261,-0.673010416,Basidiomycota,Fungi,Eukaryota,Exobasidiomycetes,basidiomycetes,Fungi,eukaryotes,Exobasidiomycetes
0.750085332,-0.436489182,0.496839198,,,Eukaryota,Filasterea,,,eukaryotes,Filasterea
-0.082251573,0.986218462,-0.143554254,Rhodophyta,,Eukaryota,Florideophyceae,red algae,,eukaryotes,Florideophyceae
-0.028921376,0.651104383,0.758436969,Bacillariophyta,,Eukaryota,Fragilariophyceae,diatoms,,eukaryotes,"Araphid, pennate diatoms"
-0.210569472,0.570997873,0.793487193,Bacillariophyta,,Eukaryota,Fragilariophyceae,diatoms,,eukaryotes,"Araphid, pennate diatoms"
-0.146839164,0.659741129,0.737007396,Bacillariophyta,,Eukaryota,Fragilariophyceae,diatoms,,eukaryotes,"Araphid, pennate diatoms"
0.034972846,-0.995763755,0.085037903,Mollusca,Metazoa,Eukaryota,Gastropoda,molluscs,multicellular animals,eukaryotes,gastropods
0.852264286,0.346925176,-0.391520764,Ascomycota,Fungi,Eukaryota,Geoglossomycetes,ascomycetes,Fungi,eukaryotes,Geoglossomycetes
-0.78872658,0.393984837,-0.471896525,Streptophyta,Viridiplantae,Eukaryota,Ginkgoopsida,Streptophyta,green plants,eukaryotes,Ginkgoopsida
-0.088896425,0.965510062,-0.244719728,,,Eukaryota,Glaucocystophyceae,,,eukaryotes,glaucocystophytes
0.549774395,-0.331605073,-0.766672153,Mucoromycota,Fungi,Eukaryota,Glomeromycetes,Mucoromycota,Fungi,eukaryotes,Glomeromycetes
-0.708026626,0.553325497,-0.438781485,Streptophyta,Viridiplantae,Eukaryota,Gnetopsida,Streptophyta,green plants,eukaryotes,Gnetopsida
-0.028422075,-0.953152338,-0.301152462,Bryozoa,Metazoa,Eukaryota,Gymnolaemata,bryozoans,multicellular animals,eukaryotes,Gymnolaemata
-0.536289424,0.795448068,-0.282233989,Streptophyta,Viridiplantae,Eukaryota,Haplomitriopsida,Streptophyta,green plants,eukaryotes,Haplomitriopsida
0.221572141,-0.645538898,-0.730879824,Tardigrada,Metazoa,Eukaryota,Heterotardigrada,tardigrades,multicellular animals,eukaryotes,Heterotardigrada
0.313992432,0.768794186,0.557103448,Ciliophora,,Eukaryota,Heterotrichea,ciliates,,eukaryotes,Heterotrichea
0.708000365,-0.533737603,0.462449622,Porifera,Metazoa,Eukaryota,Hexactinellida,sponges,multicellular animals,eukaryotes,Hexactinellida
0.698335588,-0.698560039,-0.156016917,Arthropoda,Metazoa,Eukaryota,Hexanauplia,arthropods,multicellular animals,eukaryotes,Hexanauplia
-0.592854053,-0.751785231,-0.288691945,Echinodermata,Metazoa,Eukaryota,Holothuroidea,echinoderms,multicellular animals,eukaryotes,sea cucumbers
0.106931216,-0.502973705,-0.857661452,Porifera,Metazoa,Eukaryota,Homoscleromorpha,sponges,multicellular animals,eukaryotes,Homoscleromorpha
0.661963813,-0.622124475,0.418049098,Cnidaria,Metazoa,Eukaryota,Hydrozoa,coelenterates,multicellular animals,eukaryotes,hydrozoans
-0.392368702,-0.61456128,-0.684369225,Chordata,Metazoa,Eukaryota,Hyperoartia,chordates,multicellular animals,eukaryotes,fishes
0.839719842,-0.404081469,0.362751642,,,Eukaryota,Ichthyosporea,,,eukaryotes,Ichthyosporea
0.326995715,-0.864364019,-0.382032257,Arthropoda,Metazoa,Eukaryota,Ichthyostraca,arthropods,multicellular animals,eukaryotes,Ichthyostraca
-0.245860007,0.927355375,0.282072448,Cercozoa,,Eukaryota,Imbricatea,Cercozoa,,eukaryotes,Imbricatea
0.515703555,-0.85336038,0.076327616,Arthropoda,Metazoa,Eukaryota,Insecta,arthropods,multicellular animals,eukaryotes,Insects
-0.556459181,0.762036004,-0.331140918,Streptophyta,Viridiplantae,Eukaryota,Jungermanniopsida,Streptophyta,green plants,eukaryotes,Jungermanniopsida
0.013270489,0.008260841,-0.999877819,Zoopagomycota,Fungi,Eukaryota,Kickxellomycetes,Zoopagomycota,Fungi,eukaryotes,Kickxellomycetes
0.335336159,0.05603572,0.940430571,Euglenozoa,,Eukaryota,Kinetoplastea,Euglenozoa,,eukaryotes,kinetoplasts
-0.711107817,0.670358616,0.212002353,Streptophyta,Viridiplantae,Eukaryota,Klebsormidiophyceae,Streptophyta,green plants,eukaryotes,Klebsormidiophyceae
0.958055359,0.067124802,-0.278611181,Ascomycota,Fungi,Eukaryota,Lecanoromycetes,ascomycetes,Fungi,eukaryotes,Lecanoromycetes
-0.632915678,0.75763459,-0.159397533,Streptophyta,Viridiplantae,Eukaryota,Leiosporocerotopsida,Streptophyta,green plants,eukaryotes,Leiosporocerotopsida
0.960538307,0.160287432,-0.22731938,Ascomycota,Fungi,Eukaryota,Leotiomycetes,ascomycetes,Fungi,eukaryotes,Leotiomycetes
0.00849658,-0.646402018,-0.762949696,Chordata,Metazoa,Eukaryota,Lepidosauria,chordates,multicellular animals,eukaryotes,lepidosaurs
0.155725451,-0.56550937,-0.809906622,Chordata,Metazoa,Eukaryota,Leptocardii,chordates,multicellular animals,eukaryotes,Leptocardii
0.913495059,0.337814167,-0.22673413,Ascomycota,Fungi,Eukaryota,Lichinomycetes,ascomycetes,Fungi,eukaryotes,Lichinomycetes
-0.452959101,-0.891265495,0.02176855,Brachiopoda,Metazoa,Eukaryota,Lingulata,brachiopods,multicellular animals,eukaryotes,Lingulata
0.291737221,0.838993905,0.459324093,Ciliophora,,Eukaryota,Litostomatea,ciliates,,eukaryotes,Litostomatea
