class,x,y,z,phylum,kingdom,superkingdom,class
Coscinodiscophyceae,0.0793499256418198,0.6210548103644524,0.7797400283580493,Bacillariophyta,,Eukaryota,Coscinodiscophyceae
Coscinodiscophyceae,-0.051598829024946,0.690662802601397,0.7213338020265223,Bacillariophyta,,Eukaryota,Coscinodiscophyceae
Coscinodiscophyceae,0.0307336294068639,0.722640485149425,0.6905404935602873,Bacillariophyta,,Eukaryota,Coscinodiscophyceae
Coscinodiscophyceae,-0.23116973862392,0.7422772311179492,0.628955534285548,Bacillariophyta,,Eukaryota,Coscinodiscophyceae
Craniata,-0.2418687985362887,-0.9052923863838296,0.349206499724852,Brachiopoda,Metazoa,Eukaryota,Craniata
Crinoidea,-0.5498749184308788,-0.6848118921171853,-0.4781947788250255,Echinodermata,Metazoa,Eukaryota,Crinoidea
Cryptophyceae,-0.1777157479573694,0.916250322221316,-0.3590298872758186,,,Eukaryota,Cryptophyceae
Cubozoa,0.4653607280212281,-0.6635381408557942,0.5857956370998241,Cnidaria,Metazoa,Eukaryota,Cubozoa
Cycadopsida,-0.7564902455020246,0.5197331464515061,-0.3969886206680287,Streptophyta,Viridiplantae,Eukaryota,Cycadopsida
Dacrymycetes,0.5490803244824637,-0.030295627776729,-0.835220313572321,Basidiomycota,Fungi,Eukaryota,Dacrymycetes
Demospongiae,0.7753560193477641,-0.5334572216458157,0.3380036034351067,Porifera,Metazoa,Eukaryota,Demospongiae
Dictyochophyceae,0.0263194714147693,0.1278409012442607,0.9914454041416008,,,Eukaryota,Dictyochophyceae
Dinophyceae,0.2895314838343608,0.3977502217738961,0.8706125894722002,,,Eukaryota,Dinophyceae
Diplopoda,0.3528683400830594,-0.6992360274293519,-0.6217337955361967,Arthropoda,Metazoa,Eukaryota,Diplopoda
Dothideomycetes,0.829079349371631,0.0453756575579386,-0.557286714489676,Ascomycota,Fungi,Eukaryota,Dothideomycetes
Echinamoebida,-0.956995287395804,-0.1658782679871265,0.2380008825862074,Tubulinea,,Eukaryota,Echinamoebida
Echinoidea,-0.5173779709568517,-0.7458123525077691,-0.4196236051694402,Echinodermata,Metazoa,Eukaryota,Echinoidea
Elardia,-0.6942920476876653,-0.2516268502526245,0.6742718151825805,Tubulinea,,Eukaryota,Elardia
Elardia,-0.8924711017586298,-0.1990774617619733,0.4048005641598681,Tubulinea,,Eukaryota,Elardia
Elardia,-0.8798533975293178,-0.1975643495079306,0.4322341109394588,Tubulinea,,Eukaryota,Elardia
Elardia,-0.8586843498892422,-0.2227923316320956,0.4615460586130314,Tubulinea,,Eukaryota,Elardia
Elardia,-0.8280267203823762,-0.2402861357453694,0.5065908835553242,Tubulinea,,Eukaryota,Elardia
Elardia,-0.8514099298977171,-0.1595629801575452,0.4996406575077806,Tubulinea,,Eukaryota,Elardia
Elardia,-0.7944366473067179,-0.2449509246461158,0.5557602522050981,Tubulinea,,Eukaryota,Elardia
Elardia,-0.7692576770417465,-0.2419488472308497,0.5913572369016877,Tubulinea,,Eukaryota,Elardia
Endogonomycetes,0.170732224022019,0.3267859421101718,-0.929549060415674,Mucoromycota,Fungi,Eukaryota,Endogonomycetes
Enopla,-0.2022077774443946,-0.9780735687087048,0.0498408360124167,Nemertea,Metazoa,Eukaryota,Enopla
Enoplea,0.7485535746050801,-0.6373560825644983,0.1828791129790203,Nematoda,Metazoa,Eukaryota,Enoplea
Enteropneusta,-0.4066719570808443,-0.7849144531311805,-0.4674689514714489,Hemichordata,Metazoa,Eukaryota,Enteropneusta
Entomophthoromycetes,0.2125795899629466,-0.2725975331784618,-0.938349882952091,Zoopagomycota,Fungi,Eukaryota,Entomophthoromycetes
Entoprocta,-0.1139035662331655,-0.9838721496824868,-0.1379187104004726,Entoprocta,Animalia,Eukaryota,Entoprocta
Euglenida,-0.1051143703946532,-0.0677059436018034,0.9921526466917906,Euglenozoa,,Eukaryota,Euglenida
Eumycetozoa,0.6418230379410632,0.1892778848466565,0.7431265506467121,Evosea,,Eukaryota,Eumycetozoa
Eurotatoria,-0.286096531240011,-0.9379232522633236,-0.1960835221945562,Rotifera,Metazoa,Eukaryota,Eurotatoria
Eurotiomycetes,0.886485595832476,0.1538879037575885,-0.4364192954701192,Ascomycota,Fungi,Eukaryota,Eurotiomycetes
Eustigmatophyceae,-0.2272374363152768,0.8159533036623722,0.53158569749319,,,Eukaryota,Eustigmatophyceae
Eutardigrada,0.6190871035819913,-0.7345299862341161,0.2778432246814196,Tardigrada,Metazoa,Eukaryota,Eutardigrada
Exobasidiomycetes,0.5192389157174551,0.5267332614861744,-0.6730104157059525,Basidiomycota,Fungi,Eukaryota,Exobasidiomycetes
Filasterea,0.7500853319704242,-0.4364891817913719,0.4968391982743684,,,Eukaryota,Filasterea
Florideophyceae,-0.0822515729477658,0.9862184621169716,-0.1435542536020918,Rhodophyta,,Eukaryota,Florideophyceae
Fragilariophyceae,-0.0289213756824496,0.6511043829671983,0.7584369693715745,Bacillariophyta,,Eukaryota,Fragilariophyceae
Fragilariophyceae,-0.2105694724934048,0.570997873486352,0.7934871931719587,Bacillariophyta,,Eukaryota,Fragilariophyceae
Fragilariophyceae,-0.1468391640622882,0.6597411291447225,0.737007396443438,Bacillariophyta,,Eukaryota,Fragilariophyceae
Gastropoda,0.0349728462482955,-0.9957637546299736,0.0850379032579639,Mollusca,Metazoa,Eukaryota,Gastropoda
Geoglossomycetes,0.8522642864973247,0.3469251756865613,-0.3915207637355325,Ascomycota,Fungi,Eukaryota,Geoglossomycetes
Ginkgoopsida,-0.7887265799806131,0.3939848366255784,-0.4718965252480691,Streptophyta,Viridiplantae,Eukaryota,Ginkgoopsida
Glaucocystophyceae,-0.0888964248953995,0.9655100621569058,-0.2447197284948327,,,Eukaryota,Glaucocystophyceae
Glomeromycetes,0.5497743947526994,-0.3316050733747058,-0.7666721530005242,Mucoromycota,Fungi,Eukaryota,Glomeromycetes
Gnetopsida,-0.7080266262793232,0.5533254965327468,-0.4387814847578563,Streptophyta,Viridiplantae,Eukaryota,Gnetopsida
Gymnolaemata,-0.0284220750798732,-0.9531523383209498,-0.3011524623865121,Bryozoa,Metazoa,Eukaryota,Gymnolaemata
Haplomitriopsida,-0.5362894243373176,0.7954480679707372,-0.2822339889268652,Streptophyta,Viridiplantae,Eukaryota,Haplomitriopsida
Heterotardigrada,0.2215721408127385,-0.6455388979292442,-0.7308798243733075,Tardigrada,Metazoa,Eukaryota,Heterotardigrada
Heterotrichea,0.3139924318512911,0.7687941860943103,0.5571034483538039,Ciliophora,,Eukaryota,Heterotrichea
Hexactinellida,0.7080003654334944,-0.5337376034643685,0.4624496223310717,Porifera,Metazoa,Eukaryota,Hexactinellida
Hexanauplia,0.6983355875341565,-0.69856003944957,-0.1560169172479047,Arthropoda,Metazoa,Eukaryota,Hexanauplia
Holothuroidea,-0.5928540530711055,-0.7517852305299745,-0.2886919446644744,Echinodermata,Metazoa,Eukaryota,Holothuroidea
Homoscleromorpha,0.1069312163724705,-0.5029737054832967,-0.8576614521811655,Porifera,Metazoa,Eukaryota,Homoscleromorpha
Hydrozoa,0.6619638133498038,-0.6221244745084058,0.4180490976345076,Cnidaria,Metazoa,Eukaryota,Hydrozoa
Hyperoartia,-0.3923687017338285,-0.6145612795524656,-0.6843692245963038,Chordata,Metazoa,Eukaryota,Hyperoartia
Ichthyosporea,0.8397198420254092,-0.4040814687436556,0.3627516416596785,,,Eukaryota,Ichthyosporea
Ichthyostraca,0.3269957145128773,-0.8643640191178273,-0.3820322566808845,Arthropoda,Metazoa,Eukaryota,Ichthyostraca
Imbricatea,-0.2458600073516831,0.9273553746957311,0.282072447800153,Cercozoa,,Eukaryota,Imbricatea
Insecta,0.51570355536354,-0.8533603799277921,0.0763276159387848,Arthropoda,Metazoa,Eukaryota,Insecta
Jungermanniopsida,-0.5564591814462341,0.7620360044595,-0.3311409175737544,Streptophyta,Viridiplantae,Eukaryota,Jungermanniopsida
Kickxellomycetes,0.0132704891567797,0.0082608408917161,-0.999877818848534,Zoopagomycota,Fungi,Eukaryota,Kickxellomycetes
Kinetoplastea,0.3353361588027596,0.0560357203378351,0.9404305708799722,Euglenozoa,,Eukaryota,Kinetoplastea
Klebsormidiophyceae,-0.7111078173838962,0.6703586163809641,0.2120023525796612,Streptophyta,Viridiplantae,Eukaryota,Klebsormidiophyceae
Lecanoromycetes,0.9580553587744212,0.0671248021858894,-0.2786111814969387,Ascomycota,Fungi,Eukaryota,Lecanoromycetes
Leiosporocerotopsida,-0.6329156777499273,0.7576345895049935,-0.1593975333684632,Streptophyta,Viridiplantae,Eukaryota,Leiosporocerotopsida
Leotiomycetes,0.9605383066411474,0.16028743188454,-0.2273193802886505,Ascomycota,Fungi,Eukaryota,Leotiomycetes
Lepidosauria,0.0084965800362042,-0.6464020184871551,-0.7629496959979865,Chordata,Metazoa,Eukaryota,Lepidosauria
Leptocardii,0.1557254511121431,-0.5655093703435312,-0.8099066217346185,Chordata,Metazoa,Eukaryota,Leptocardii
Lichinomycetes,0.9134950591439974,0.3378141666094654,-0.2267341301115846,Ascomycota,Fungi,Eukaryota,Lichinomycetes
Lingulata,-0.4529591006267194,-0.8912654954472174,0.0217685503573279,Brachiopoda,Metazoa,Eukaryota,Lingulata
Litostomatea,0.2917372209697033,0.8389939045307573,0.4593240926199159,Ciliophora,,Eukaryota,Litostomatea
Lycopodiopsida,-0.6437593178199278,0.6985193142232733,-0.312481532857654,Streptophyta,Viridiplantae,Eukaryota,Lycopodiopsida
Magnoliopsida,-0.7989772818411586,0.3337308006822689,-0.5002589887025375,Streptophyta,Viridiplantae,Eukaryota,Magnoliopsida
Malacostraca,0.7009161890792716,-0.710562480674033,0.0617855723041811,Arthropoda,Metazoa,Eukaryota,Malacostraca
Malasseziomycetes,0.3515976725880899,0.4756379388490412,-0.806317324480923,Basidiomycota,Fungi,Eukaryota,Malasseziomycetes
Mamiellophyceae,-0.9926031846845432,0.0052499412198241,0.1212903783129179,Chlorophyta,Viridiplantae,Eukaryota,Mamiellophyceae
Mammalia,-0.1548305553396685,-0.6553944955985204,-0.739246612621506,Chordata,Metazoa,Eukaryota,Mammalia
Marchantiopsida,-0.5445932784881004,0.8183217271181278,-0.1837599302132721,Streptophyta,Viridiplantae,Eukaryota,Marchantiopsida
Mediophyceae,-0.0020236918327852,0.7864583183098377,0.6176400393697189,Bacillariophyta,,Eukaryota,Mediophyceae
Mediophyceae,-0.3620924980737904,0.4829102173014353,0.7972996581364892,Bacillariophyta,,Eukaryota,Mediophyceae
Mediophyceae,-0.2198805083101759,0.3724168800078825,0.9016419630598684,Bacillariophyta,,Eukaryota,Mediophyceae
Mediophyceae,-0.0364097150534425,0.5630785799579692,0.825600899613272,Bacillariophyta,,Eukaryota,Mediophyceae
Mediophyceae,-0.1430425545584177,0.6394411082761343,0.7554163730235075,Bacillariophyta,,Eukaryota,Mediophyceae
Mediophyceae,-0.3046285745126925,0.6352759938485357,0.7096660082250806,Bacillariophyta,,Eukaryota,Mediophyceae
Merostomata,0.579795399927976,-0.7978138668128897,0.1653188680805161,Arthropoda,Metazoa,Eukaryota,Merostomata
Mesostigmatophyceae,-0.9662405961221052,0.1478647167434766,0.2109861036845088,Streptophyta,Viridiplantae,Eukaryota,Mesostigmatophyceae
Mesostigmatophyceae,-0.8373780283955822,0.4687297137836586,0.2812303201587925,Streptophyta,Viridiplantae,Eukaryota,Mesostigmatophyceae
Microbotryomycetes,0.3967382636887124,-0.1899574930272281,-0.8980617467457771,Basidiomycota,Fungi,Eukaryota,Microbotryomycetes
Monoblepharidomycetes,0.9817052642563016,-0.1904043906848822,-0.0009706386473606,Chytridiomycota,Fungi,Eukaryota,Monoblepharidomycetes
Monogenea,0.1257934246295069,-0.7945368001799998,0.5940431697105082,Platyhelminthes,Metazoa,Eukaryota,Monogenea
Monoplacophora,0.1450708432500549,-0.9479494926195974,0.2834540701435877,Mollusca,Metazoa,Eukaryota,Monoplacophora
Mucoromycetes,0.10947703980366,0.0527051840192851,-0.9925910242054988,Mucoromycota,Fungi,Eukaryota,Mucoromycetes
Mystacocarida,0.5396666957746895,-0.7380986018249144,-0.40493247764996,Arthropoda,Metazoa,Eukaryota,Mystacocarida
Myxini,-0.4037427417423688,-0.6314000014113191,-0.662061807317218,Chordata,Metazoa,Eukaryota,Myxini
Myxozoa,0.7365799956289834,-0.6006236084524399,0.3109681511164399,Cnidaria,Metazoa,Eukaryota,Myxozoa
Neocallimastigomycetes,0.9946253260233098,0.0696610244001515,0.0766015829637101,Chytridiomycota,Fungi,Eukaryota,Neocallimastigomycetes
Neolectomycetes,0.7455869275054111,0.3395020864270444,-0.5734443886243239,Ascomycota,Fungi,Eukaryota,Neolectomycetes
Oedipodiopsida,-0.7949533404993206,0.5565935708590085,-0.241356133767901,Streptophyta,Viridiplantae,Eukaryota,Oedipodiopsida
Oligohymenophorea,0.2204979083767016,0.8902769463067481,0.3984816573899371,Ciliophora,,Eukaryota,Oligohymenophorea
Ophiuroidea,-0.384760665364231,-0.8514151739178976,-0.3564427471710295,Echinodermata,Metazoa,Eukaryota,Ophiuroidea
Orbiliomycetes,0.7264510480212899,0.0607433368617145,-0.6845283937541773,Ascomycota,Fungi,Eukaryota,Orbiliomycetes
Ostracoda,0.439386754480583,-0.7675889176395316,-0.4666331894582641,Arthropoda,Metazoa,Eukaryota,Ostracoda
Palmophyllophyceae,-0.3267781982477263,0.9366842936472952,-0.1258512740675967,Chlorophyta,Viridiplantae,Eukaryota,Palmophyllophyceae
Pauropoda,0.4138702773493522,-0.709007269248232,-0.5709816859409199,Arthropoda,Metazoa,Eukaryota,Pauropoda
Pelagophyceae,-0.399399171711248,0.1333531879960141,0.9070265866487424,,,Eukaryota,Pelagophyceae
Pezizomycetes,0.775494512291716,-0.1395047106649471,-0.6157488912760809,Ascomycota,Fungi,Eukaryota,Pezizomycetes
Phaeophyceae,-0.5113697350647887,0.5295545046114981,0.6768109194638032,,,Eukaryota,Phaeophyceae
Phaeothamniophyceae,-0.3924623454704817,0.6925324656452543,0.6052867844378506,,,Eukaryota,Phaeothamniophyceae
Phyllopharyngea,0.168825750708566,0.9399772378591766,0.2965479020399945,Ciliophora,,Eukaryota,Phyllopharyngea
Physodermatomycetes,0.943088385223338,0.3015734520370176,0.1401347590118652,Blastocladiomycota,Fungi,Eukaryota,Physodermatomycetes
Phytomyxea,-0.1673728008715983,0.9371410162872902,0.3061912165958083,Endomyxa,,Eukaryota,Phytomyxea
Pilidiophora,-0.385827257331863,-0.9033766049010952,0.187211210180221,Nemertea,Metazoa,Eukaryota,Pilidiophora
Pinguiophyceae,-0.5090165865038152,0.0083064779526277,0.8607166299590281,,,Eukaryota,Pinguiophyceae
Pinopsida,-0.7580329125210363,0.4401858703091567,-0.4812717559913997,Streptophyta,Viridiplantae,Eukaryota,Pinopsida
Pneumocystidomycetes,0.7275968853167966,0.6322129507695159,-0.266288485212181,Ascomycota,Fungi,Eukaryota,Pneumocystidomycetes
Polychaeta,-0.239145157289447,-0.8637576580306303,0.4435451520853839,Annelida,Metazoa,Eukaryota,Polychaeta
Polycystinea,-0.052745098849087,0.936740675173474,0.3460272561850354,,,Eukaryota,Polycystinea
Polyplacophora,0.1184982439050788,-0.9441545137777908,0.3074579976264009,Mollusca,Metazoa,Eukaryota,Polyplacophora
Polypodiopsida,-0.6456995150955231,0.6628009943289472,-0.3791661616256982,Streptophyta,Viridiplantae,Eukaryota,Polypodiopsida
Polytrichopsida,-0.8339339990996946,0.5410744524624875,-0.1085933793470388,Streptophyta,Viridiplantae,Eukaryota,Polytrichopsida
Priapulimorpha,0.2205677489089446,-0.6310149624245799,-0.7437539817288691,Priapulida,Metazoa,Eukaryota,Priapulimorpha
Protura,0.6200953214762287,-0.7702502406101723,-0.1489844257741873,Arthropoda,Metazoa,Eukaryota,Protura
Pucciniomycetes,0.45439261952426,-0.2964607902602833,-0.8400228253804354,Basidiomycota,Fungi,Eukaryota,Pucciniomycetes
Pycnogonida,0.203137428029513,-0.9147968762319808,-0.3491158268680528,Arthropoda,Metazoa,Eukaryota,Pycnogonida
Raphidophyceae,-0.6072795355785514,0.1751478613380158,0.7749417993218704,,,Eukaryota,Raphidophyceae
Remipedia,0.3411864706913012,-0.9297060449515347,-0.1387027836699343,Arthropoda,Metazoa,Eukaryota,Remipedia
Rhabditophora,0.413347730838491,-0.834307169492011,0.3647947372768682,Platyhelminthes,Metazoa,Eukaryota,Rhabditophora
Rhodellophyceae,0.0294983862865545,0.9992869096015636,0.0235694188610015,Rhodophyta,,Eukaryota,Rhodellophyceae
Rhynchonellata,-0.5285719745538,-0.8373365054857387,0.139568063314028,Brachiopoda,Metazoa,Eukaryota,Rhynchonellata
Saccharomycetes,0.6742760834403337,0.5146414289418414,-0.5296186957775033,Ascomycota,Fungi,Eukaryota,Saccharomycetes
Sagittoidea,-0.0355189962540438,-0.9366609456075152,-0.3484317348904093,Chaetognatha,Metazoa,Eukaryota,Sagittoidea
Scaphopoda,0.3135755267166824,-0.934208783486966,0.1700715669950687,Mollusca,Metazoa,Eukaryota,Scaphopoda
Schizosaccharomycetes,0.6432184794694527,0.6252610721972222,-0.4419486160899086,Ascomycota,Fungi,Eukaryota,Schizosaccharomycetes
Scyphozoa,-0.6990317348666284,-0.7135310774018169,0.0472020680813267,Cnidaria,Metazoa,Eukaryota,Scyphozoa
Solenogastres,0.0152349422203379,-0.919228554931275,0.3934294858478491,Mollusca,Metazoa,Eukaryota,Solenogastres
Sordariomycetes,0.8307979361530881,0.2597193506557144,-0.4922607522225833,Ascomycota,Fungi,Eukaryota,Sordariomycetes
Sphagnopsida,-0.90476280713544,0.2906680717056342,-0.311313884873976,Streptophyta,Viridiplantae,Eukaryota,Sphagnopsida
Spirotrichea,0.2186862729839818,0.8521197473189077,0.4754663502683825,Ciliophora,,Eukaryota,Spirotrichea
