,x,y,z,name,r,size
54,-0.3256999635589422,-0.27858628700575705,1.01414021097748,Bolitophilidae,0.0017623878926127784,59
55,-0.3610206430218753,-0.31491181756965486,0.9751982982331558,Vermileonidae,0.0017623878926127784,59
56,-0.3548383314837237,-0.32740356142449606,0.9744646629604825,Curtonotidae,0.0017772606279579828,60
57,-0.32348386858298284,-0.3561377128601886,0.9759539800635049,Opomyzidae,0.0017920099317110653,61
58,-0.3065374074375193,-0.3524890478011899,0.989928267290926,Odiniidae,0.0018066388269415087,62
59,-0.3322573152237485,-0.3283875136091807,0.995903489831872,Pallopteridae,0.0018640066721067724,66
60,-0.31461604431149703,-0.350485552546382,0.9883288983763577,Corethrellidae,0.0018640066721067724,66
61,-0.3574050900863365,-0.30216695854868547,0.9861168986945922,Aulacigastridae,0.0019196608805475352,70
62,-0.27513691850631067,-0.35932545046362135,0.9878460540909364,Ptychopteridae,0.0019737464170836417,74
63,-0.3429071810481117,-0.3341226115782761,0.9826641899650271,Piophilidae,0.002077697996399491,82
64,-0.2658316620390525,-0.31798533725720507,1.0167468170524678,Carnidae,0.0021766908392177346,90
65,-0.2765836509021589,-0.3465028101190138,1.0005758708608754,Ditomyiidae,0.0022126716377535295,93
66,-0.29220954652290654,-0.33821037134044035,1.0057893316254487,Chyromyidae,0.0023733805754197522,107
67,-0.2606239426499862,-0.3401947122916597,1.0035632595307478,Neriidae,0.0024173358017507136,111
68,-0.34299706755088955,-0.3011669928625795,1.0003330699574953,Celyphidae,0.0024711806200140925,116
69,-0.29196441864048644,-0.32169329693905074,1.015101107845089,Asteiidae,0.0026361035160473363,132
70,-0.30930308401592144,-0.3102708718212343,1.0155709352811564,Xylomyidae,0.0026559989191714886,134
71,-0.2881921287742618,-0.3655473135409289,0.9791397782664177,Athericidae,0.0026559989191714886,134
72,-0.35938532510664767,-0.34730279443304113,0.9232051755219637,Xylophagidae,0.0028007131401774294,149
73,-0.37319060151189204,-0.32076618083443537,0.9422529673285954,Manotidae,0.00285654680121497,155
74,-0.36825342774387493,-0.3325790257459953,0.9367281765523271,Anisopodidae,0.0028931706915039514,159
75,-0.24433938192034965,-0.36034932178921353,0.9773714387227543,Trichoceridae,0.002902254452290313,160
76,-0.3405490894070987,-0.27541903123402617,1.0051498697341505,Rhinophoridae,0.0029650616680719135,167
77,-0.28853829837007083,-0.27753469142274056,1.024681181054514,Apioceridae,0.0029827636860456086,169
78,-0.3049733536453941,-0.372703616974525,0.9604319456050917,Thaumaleidae,0.0030178562307436644,173
79,-0.3090953735235642,-0.2888748350590923,1.0201680233327597,Richardiidae,0.003026565790644547,174
80,-0.2669551786560057,-0.29279155248414934,1.0235498039619153,Diopsidae,0.0031038522493915996,183
81,-0.33850950064843055,-0.2814845162323507,1.00659417651083,Dixidae,0.00312076710079049,185
82,-0.2615055685896138,-0.3212322421037891,1.0147001045454278,Oestridae,0.0031792604622784106,192
83,-0.271101005178855,-0.3151289433564696,1.0183909779253422,Platypezidae,0.0036423004305927782,252
