seqId,x,y,z,population,region
HGDP00371,0.10247049873748068,0.1279045766956214,-0.32371776321898427,Burusho,South Asia
HGDP00372,0.10293810075416318,0.12799444200033713,-0.3222553157909428,Burusho,South Asia
HGDP00382,0.10274074430574368,0.12786747247504038,-0.32299863920956046,Burusho,South Asia
HGDP00388,0.10125070798367526,0.13067310189255238,-0.3150406428313735,Burusho,South Asia
HGDP00392,0.10090320970244614,0.1309023002824501,-0.31524100239908676,Burusho,South Asia
HGDP00397,0.10277205182802854,0.13037565693674757,-0.31486994086333425,Burusho,South Asia
HGDP00402,0.10062507246585778,0.130842877233945,-0.31553768010632277,Burusho,South Asia
HGDP00407,0.10032247503705624,0.13100158611787094,-0.31573899178605064,Burusho,South Asia
HGDP00412,0.10148453525558845,0.13047443777405116,-0.31542054687031196,Burusho,South Asia
HGDP00417,0.09998723789283304,0.13082151161019123,-0.3164297062910754,Burusho,South Asia
HGDP00423,0.09962403443573438,0.1305757291362843,-0.31734074366085796,Burusho,South Asia
HGDP00428,0.10199409534029327,0.13043704431265585,-0.3150383366972422,Burusho,South Asia
HGDP00433,0.10121095737481302,0.12791929979693004,-0.32465194453472773,Burusho,South Asia
HGDP00438,0.09889346952331551,0.12987009124866675,-0.32087036214282316,Burusho,South Asia
HGDP00444,0.1008283609267099,0.12818968447350557,-0.32425140564906707,Burusho,South Asia
HGDP00445,0.10249158328876393,0.13004273265433464,-0.3158767334194972,Burusho,South Asia
HGDP00449,0.10528391680919329,0.12629816486606996,-0.31341289667009004,MbutiPygmy,Central Africa
HGDP00452,0.10554996991537578,0.12627429865824516,-0.3152071346435235,BiakaPygmy,Central Africa
HGDP00454,0.10655625339387509,0.12782416628069462,-0.3175845353872069,BiakaPygmy,Central Africa
HGDP00455,0.1054409294782834,0.12498080031392383,-0.3197990997723841,BiakaPygmy,Central Africa
HGDP00457,0.10631503237661889,0.12739215188903855,-0.3224033302449035,BiakaPygmy,Central Africa
HGDP00458,0.10661559839645043,0.12731996377804336,-0.3206638535017657,BiakaPygmy,Central Africa
HGDP00459,0.1051881717454816,0.12474686512656108,-0.31960848578716566,BiakaPygmy,Central Africa
HGDP00460,0.10531390146699936,0.12742287100051952,-0.3134524090629956,BiakaPygmy,Central Africa
HGDP00461,0.10622368443326174,0.12728357339202181,-0.3162000109373866,BiakaPygmy,Central Africa
HGDP00462,0.10545998863902911,0.1286340591945217,-0.31242365137429046,MbutiPygmy,Central Africa
HGDP00463,0.10602015869190891,0.1253599549857278,-0.3189856616854602,MbutiPygmy,Central Africa
HGDP00464,0.10647958609339223,0.12745023179614717,-0.3216870345152009,BiakaPygmy,Central Africa
HGDP00465,0.10644560628590116,0.12927913748483577,-0.3157025059360912,BiakaPygmy,Central Africa
HGDP00467,0.10503877561968678,0.12858647165402964,-0.3117227027577941,MbutiPygmy,Central Africa
HGDP00469,0.10525141862130201,0.1262612096773907,-0.31437827420797,BiakaPygmy,Central Africa
HGDP00470,0.10624720284030327,0.12652504724629823,-0.3206407120729801,BiakaPygmy,Central Africa
HGDP00471,0.1056182750361417,0.1255525844064407,-0.3234765662175302,MbutiPygmy,Central Africa
HGDP00472,0.10664790406564037,0.12822421377052662,-0.32059765522133815,BiakaPygmy,Central Africa
HGDP00473,0.10608036906537395,0.12936203733242702,-0.3147806525289799,BiakaPygmy,Central Africa
HGDP00474,0.10533279520047713,0.12520827370017099,-0.31548380685904415,MbutiPygmy,Central Africa
HGDP00475,0.10552099386869615,0.12559575713626892,-0.32206676083205255,BiakaPygmy,Central Africa
HGDP00476,0.10590924465001507,0.12927322439279743,-0.31315201737184095,MbutiPygmy,Central Africa
HGDP00478,0.10600088302858383,0.1262936172862177,-0.3237201505048035,MbutiPygmy,Central Africa
HGDP00511,0.09944207323991727,0.12675411204446368,-0.3182637266787417,French,Europe
HGDP00512,0.10037967327595458,0.12603885654185312,-0.31894918467672817,French,Europe
HGDP00513,0.10013456104163067,0.1263645309118291,-0.322471659042469,French,Europe
HGDP00514,0.09855938554627819,0.12736943026469105,-0.3194736831010698,French,Europe
HGDP00515,0.09849468110453732,0.12862383353814816,-0.3177924719980846,French,Europe
HGDP00516,0.10000993910900668,0.1288693295241772,-0.31440903582106744,French,Europe
HGDP00517,0.09916085592543894,0.12896698614188118,-0.31579039746249327,French,Europe
HGDP00518,0.09851852643490597,0.1283465363640693,-0.3175445227241669,French,Europe
HGDP00519,0.0983772761907724,0.12797869316897728,-0.3202398856487208,French,Europe
HGDP00520,0.09900953303897747,0.12873024155769888,-0.31599409586681854,French,Europe
HGDP00522,0.09961287489360114,0.1284560145391296,-0.3149681108892892,French,Europe
HGDP00523,0.09876356614471739,0.12774310847248158,-0.32095285315838823,French,Europe
HGDP00524,0.09891974624672643,0.1275323412902084,-0.3177194792291241,French,Europe
HGDP00525,0.0986399506970132,0.12883003769689355,-0.31651172265902183,French,Europe
HGDP00526,0.0983516978403174,0.12802742248550908,-0.3196726069589723,French,Europe
HGDP00527,0.0988016918277193,0.12761068949302035,-0.3188978761097499,French,Europe
HGDP00528,0.10030594880142953,0.1263211598731731,-0.32179607184313397,French,Europe
HGDP00529,0.10087742825526305,0.12720544530966751,-0.3158261113842843,French,Europe
HGDP00530,0.09974338532105811,0.12622696688776622,-0.3163448469267738,French,Europe
HGDP00531,0.09882099806873533,0.12822429927787676,-0.31646043876112573,French,Europe
HGDP00533,0.09952157740566868,0.1275726667220326,-0.3169484061616654,French,Europe
HGDP00534,0.09984991534270769,0.12664649890529633,-0.3194694296116117,French,Europe
HGDP00535,0.09867895747619028,0.1290025484325762,-0.31665770478080113,French,Europe
HGDP00537,0.09962237791928476,0.1289997430757848,-0.314978913097333,French,Europe
HGDP00538,0.09910490476032163,0.12902606264256053,-0.3151146706985883,French,Europe
HGDP00539,0.1002242362832446,0.12742614163226743,-0.31600821035874305,French,Europe
HGDP00543,0.10215912338921904,0.12855687474503633,-0.32809519644560425,Papuan,Oceania
HGDP00545,0.10254781257225844,0.12841827452314566,-0.32790224237454224,Papuan,Oceania
HGDP00546,0.0995724402307153,0.1295645004330909,-0.32747764927313966,Papuan,Oceania
HGDP00547,0.1034195827398984,0.12860839647361902,-0.3272467018026353,Papuan,Oceania
HGDP00548,0.10296875555325494,0.13256729640569367,-0.31379055808070766,Papuan,Oceania
HGDP00549,0.10007809358868551,0.13288171732887796,-0.3143402198906799,Papuan,Oceania
HGDP00550,0.09885119333456042,0.1326374375746129,-0.3156667187763985,Papuan,Oceania
HGDP00552,0.10295323061246642,0.12842962865424645,-0.32754534220940995,Papuan,Oceania
HGDP00553,0.10140017492275996,0.1287538929616175,-0.32809852962416386,Papuan,Oceania
HGDP00554,0.10270219936457381,0.13256222808550505,-0.31368635316775473,Papuan,Oceania
HGDP00555,0.10243194679294894,0.132531390461026,-0.3134223106036987,Papuan,Oceania
HGDP00556,0.10195748790786217,0.13270986251400146,-0.3135044068557332,Papuan,Oceania
HGDP00560,0.10050512632897056,0.1257375297590375,-0.3213827703195804,Druze,Western Asia
HGDP00561,0.09928688937215867,0.1282055459036213,-0.31546401603429125,Druze,Western Asia
HGDP00563,0.10006388665947269,0.12869745331865023,-0.3132714899810749,Druze,Western Asia
HGDP00565,0.09885550347130892,0.1264995499704811,-0.3188085541947034,Druze,Western Asia
HGDP00566,0.10189080485590554,0.12608026923768556,-0.3193414479080488,Druze,Western Asia
HGDP00569,0.10089632084193452,0.12555534470611493,-0.3191798863252105,Druze,Western Asia
HGDP00571,0.09861634432293682,0.1263210485631392,-0.3199401337356408,Druze,Western Asia
HGDP00572,0.10124019278825704,0.1263872662430707,-0.3162937045022323,Druze,Western Asia
HGDP00573,0.1000729021562283,0.12597600500912484,-0.32278443276838714,Druze,Western Asia
HGDP00574,0.10039551099393665,0.1257630341452653,-0.3224018702437458,Druze,Western Asia
HGDP00577,0.10110538760764318,0.12518353257061562,-0.3205918710253316,Druze,Western Asia
HGDP00578,0.10104364220441267,0.1270024451425832,-0.3150825090895777,Druze,Western Asia
HGDP00579,0.0998268468566481,0.12568781324686967,-0.31772122989649615,Druze,Western Asia
HGDP00580,0.09974096524822103,0.12612682647696538,-0.31993121509337696,Druze,Western Asia
HGDP00582,0.10139586238907156,0.12592836053295112,-0.3217650369727973,Druze,Western Asia
HGDP00583,0.09824860931871299,0.12736001157556756,-0.32014942858566237,Druze,Western Asia
HGDP00584,0.10082487754648696,0.12757630058425784,-0.3151401297547253,Druze,Western Asia
HGDP00586,0.10026712311653928,0.1258024773529157,-0.320004098332603,Druze,Western Asia
HGDP00587,0.09830312986514354,0.12771305587547663,-0.3178762536271313,Druze,Western Asia
HGDP00588,0.09890030122474301,0.12864275741079262,-0.3148478705577611,Druze,Western Asia
HGDP00590,0.09784864250160909,0.12682009979739592,-0.3199823102654724,Druze,Western Asia
HGDP00591,0.10083066939146443,0.12640110717113168,-0.3152593843745999,Druze,Western Asia
HGDP00594,0.10090611345363533,0.12823416801557427,-0.31411343422863924,Druze,Western Asia
HGDP00595,0.09974808549062697,0.12572056998854805,-0.3223885239907747,Druze,Western Asia
HGDP00597,0.10064337069439899,0.12762157577025973,-0.3135892032756018,Druze,Western Asia
HGDP00598,0.1003118051563294,0.12587986051020275,-0.32140797382744946,Druze,Western Asia
HGDP00599,0.10103711911715055,0.1280613047149336,-0.31429122105718155,Druze,Western Asia
HGDP00600,0.10054521970281365,0.12723184424992862,-0.3166408544210716,Druze,Western Asia
HGDP00601,0.1006944102377217,0.12567745978224748,-0.32065361619230387,Druze,Western Asia
HGDP00602,0.1009665051296084,0.12623161515909045,-0.31763911430616726,Druze,Western Asia
HGDP00604,0.10088334592328319,0.12547435789642472,-0.32014098236364835,Druze,Western Asia
HGDP00606,0.09814903958684248,0.12727099709594844,-0.31867906811609215,Druze,Western Asia
HGDP00607,0.1015819586719271,0.12548073111669397,-0.31728252012600167,Bedouin,Western Asia
