seqId,x,y,z,population,region
HGDP00594,0.10101773125509739,0.13011011907912703,-0.3203287003264203,Druze,Western Asia
HGDP00595,0.1011760494842242,0.12490664798712345,-0.31832356018732744,Druze,Western Asia
HGDP00597,0.10434108472260767,0.12764351561870388,-0.32116367238312366,Druze,Western Asia
HGDP00598,0.10482302959709039,0.1306274584190268,-0.3164628166892396,Druze,Western Asia
HGDP00599,0.1074475967271881,0.12659690961354395,-0.31641441946005433,Druze,Western Asia
HGDP00600,0.10204213568229994,0.13244260310378125,-0.3239416791003779,Druze,Western Asia
HGDP00601,0.10190415712323084,0.1287919151854681,-0.314842831855509,Druze,Western Asia
HGDP00602,0.10545925278566956,0.12662306044356364,-0.3232500815581258,Druze,Western Asia
HGDP00604,0.10273819219135277,0.12801570884963784,-0.31771784854120105,Druze,Western Asia
HGDP00606,0.10008973036208715,0.1266787739964145,-0.3230208070835737,Druze,Western Asia
HGDP00607,0.10561115660456755,0.13068020499223668,-0.32025858380972505,Bedouin,Western Asia
HGDP00608,0.10360901554818089,0.1291633512212047,-0.3211396108427931,Bedouin,Western Asia
HGDP00609,0.1027710826518003,0.13242833972120413,-0.3140726665589845,Bedouin,Western Asia
HGDP00611,0.10024681332542357,0.12967458458845108,-0.31788747394614497,Bedouin,Western Asia
HGDP00612,0.10069087764013931,0.13020907171762455,-0.31746604370972054,Bedouin,Western Asia
HGDP00613,0.10237271344486851,0.12520077016784362,-0.32084878352801743,Bedouin,Western Asia
HGDP00616,0.1037382736596685,0.12881021500017636,-0.31708335039120544,Bedouin,Western Asia
HGDP00620,0.10402259151457396,0.12413005366303899,-0.3131344441809969,Bedouin,Western Asia
HGDP00623,0.10171335705256032,0.13441299063636403,-0.3189886862980176,Bedouin,Western Asia
HGDP00624,0.10595975128417476,0.13139022896204922,-0.32251429150592736,Bedouin,Western Asia
HGDP00625,0.10502860393764687,0.12832677424950317,-0.3209381382781306,Bedouin,Western Asia
HGDP00626,0.10041633910775488,0.12721689621828763,-0.31621242342725636,Bedouin,Western Asia
HGDP00627,0.10098547834544025,0.12772412193579963,-0.32159170930572883,Bedouin,Western Asia
HGDP00628,0.10172481808535788,0.12445317989536166,-0.3150432114249103,Bedouin,Western Asia
HGDP00629,0.10516180208035197,0.1239033928135526,-0.3167049389667457,Bedouin,Western Asia
HGDP00631,0.10386920635396385,0.12877329001437013,-0.32372388461648105,Bedouin,Western Asia
HGDP00632,0.10416562323972209,0.12802058396327767,-0.32154508391401704,Bedouin,Western Asia
HGDP00634,0.10362786973302701,0.13183290615329313,-0.32288177570059967,Bedouin,Western Asia
HGDP00635,0.10286503969406297,0.13143419177544768,-0.31685350452704214,Bedouin,Western Asia
HGDP00636,0.10325668278707587,0.12641823096732385,-0.32445268002370065,Bedouin,Western Asia
HGDP00637,0.10700675335463747,0.12980623946539357,-0.3174265794666097,Bedouin,Western Asia
HGDP00638,0.10116098147228064,0.12933954930859634,-0.31682068901100563,Bedouin,Western Asia
HGDP00639,0.10537644488191192,0.1282957002268696,-0.3226212103902307,Bedouin,Western Asia
HGDP00640,0.10251697900228698,0.13057713075934807,-0.3194932551347598,Bedouin,Western Asia
HGDP00641,0.0990100320538864,0.12635198744118198,-0.31876744630624493,Bedouin,Western Asia
HGDP00642,0.10523088725896604,0.13003885456407924,-0.31514443028296246,Bedouin,Western Asia
HGDP00643,0.10434842989101095,0.1281722891554022,-0.31518493743315884,Bedouin,Western Asia
HGDP00644,0.10221874868796285,0.12860431866820718,-0.3156261492687327,Bedouin,Western Asia
HGDP00645,0.1037220644393029,0.1288010257171085,-0.3171548820836588,Bedouin,Western Asia
HGDP00646,0.10642616328416057,0.1299834257581757,-0.32326820201520695,Bedouin,Western Asia
HGDP00647,0.10461085475823523,0.12807389078023823,-0.3132020710280854,Bedouin,Western Asia
HGDP00648,0.10529905521817093,0.13182370040642705,-0.32347389348480304,Bedouin,Western Asia
HGDP00649,0.10401470571103646,0.12915775446638075,-0.32148138666109793,Bedouin,Western Asia
HGDP00650,0.10481024588153734,0.1300899463225585,-0.31874426993267624,Bedouin,Western Asia
HGDP00651,0.10252457547675542,0.12959973444608525,-0.32311661786693124,Bedouin,Western Asia
HGDP00653,0.1056365527317798,0.12814087225953577,-0.32060081451855216,Bedouin,Western Asia
HGDP00654,0.10293541598158043,0.12952531147972118,-0.3232511000815717,Bedouin,Western Asia
HGDP00655,0.1005536483583663,0.1269896687236707,-0.3236287360984601,Melanesian,Oceania
HGDP00656,0.09830934801991534,0.12542645447852832,-0.3261943779764797,Melanesian,Oceania
HGDP00660,0.09858529282466288,0.13030928015728366,-0.32093703111200467,Melanesian,Oceania
HGDP00661,0.0988320216709962,0.12644595515832613,-0.3170346789289397,Melanesian,Oceania
HGDP00663,0.09967957827226012,0.12752923356371293,-0.32068245940152,Melanesian,Oceania
HGDP00664,0.09891210017309424,0.1282153529696848,-0.3222628385667246,Melanesian,Oceania
HGDP00666,0.10360921737358522,0.1256500828639554,-0.3148502146546321,Sardinian,Europe
HGDP00667,0.10901410362121372,0.12906736462805254,-0.3190012039806601,Sardinian,Europe
HGDP00668,0.10461241759442774,0.12805797453266154,-0.3147015440681499,Sardinian,Europe
HGDP00669,0.10183984491597323,0.12894725222717968,-0.3197497004866267,Sardinian,Europe
HGDP00670,0.10469159320481541,0.1275655610755791,-0.32058751003146063,Sardinian,Europe
HGDP00671,0.10225116222803965,0.1286072885950927,-0.32163013396163725,Sardinian,Europe
HGDP00672,0.10333646571757127,0.12665228319736863,-0.32564661231908587,Sardinian,Europe
HGDP00673,0.10202455688689974,0.12634849033855583,-0.3182407725243079,Sardinian,Europe
HGDP00674,0.10494894858944814,0.12830504834505305,-0.320588136071363,Sardinian,Europe
HGDP00675,0.10107074851706971,0.12718874349281584,-0.3176633322834132,Palestinian,Western Asia
HGDP00676,0.10436572859528223,0.13078402258733648,-0.3150497504774592,Palestinian,Western Asia
HGDP00680,0.10098547834544025,0.12772412193579963,-0.32159170930572883,Palestinian,Western Asia
HGDP00685,0.10196233586641784,0.1289297872709495,-0.31962274666933366,Palestinian,Western Asia
HGDP00686,0.09821417747095254,0.13007900384159962,-0.31539822081702595,Palestinian,Western Asia
HGDP00687,0.10417690131958735,0.12977854403218717,-0.3207592104710875,Palestinian,Western Asia
HGDP00689,0.10461813330297695,0.1250772916323614,-0.31808039271204247,Palestinian,Western Asia
HGDP00690,0.10481024588153734,0.1300899463225585,-0.31874426993267624,Palestinian,Western Asia
HGDP00691,0.10141812647090415,0.12635329401697823,-0.31560638741316355,Palestinian,Western Asia
HGDP00693,0.10587713151212735,0.126527208826083,-0.3204237633665609,Palestinian,Western Asia
HGDP00694,0.10427843257276356,0.127457861952789,-0.31912044237570397,Palestinian,Western Asia
HGDP00697,0.10342766255127767,0.12551954644288288,-0.3161534778853181,Palestinian,Western Asia
HGDP00698,0.10348246462381125,0.12517574592716427,-0.31584094953577574,Palestinian,Western Asia
HGDP00699,0.09802329219109746,0.12735574586082582,-0.3170664592781808,Palestinian,Western Asia
HGDP00700,0.10462235278500501,0.12537192334299657,-0.3214830598571113,Palestinian,Western Asia
HGDP00701,0.10351186448789448,0.12643218101222,-0.3217931904275805,Bedouin,Western Asia
HGDP00702,0.10056909190480925,0.13175821469388974,-0.32154376537874774,Colombian,South America
HGDP00704,0.10099428243596437,0.13149829208695785,-0.31964674394356524,Colombian,South America
HGDP00706,0.10211985206488164,0.12862040526890597,-0.3219512659758515,Colombian,South America
HGDP00712,0.10056909190480925,0.13175821469388974,-0.32154376537874774,Cambodian,South-East Asia
HGDP00713,0.10065408719674365,0.13217405338014365,-0.32489649867503784,Cambodian,South-East Asia
HGDP00714,0.09909748338267257,0.130061371294174,-0.32332300595148095,Cambodian,South-East Asia
HGDP00715,0.10068040544660353,0.1289920082381693,-0.3225900673374198,Cambodian,South-East Asia
HGDP00716,0.09883790694952455,0.12997396017327262,-0.3232841968799577,Cambodian,South-East Asia
HGDP00717,0.10087496684801978,0.13337965031983262,-0.3243224929301926,Cambodian,South-East Asia
HGDP00719,0.09904854069489774,0.12736631880147561,-0.3253193464502396,Cambodian,South-East Asia
HGDP00720,0.09989693653090681,0.12976212288317943,-0.3178981030499742,Cambodian,South-East Asia
HGDP00721,0.10132596224052018,0.13193431037462325,-0.3264278474478716,Cambodian,South-East Asia
HGDP00722,0.10434108472260767,0.12764351561870388,-0.32116367238312366,Palestinian,Western Asia
HGDP00723,0.10432608733773549,0.1305474388553,-0.31760632683674095,Palestinian,Western Asia
HGDP00725,0.10260616464386765,0.1303736904361436,-0.3193502849172687,Palestinian,Western Asia
HGDP00726,0.10360223407049227,0.1292735515715464,-0.3215161995687735,Palestinian,Western Asia
HGDP00727,0.09944358190348815,0.13003418157825578,-0.32066818921119306,Palestinian,Western Asia
HGDP00729,0.09960323804112589,0.12489651524243259,-0.32176274369361463,Palestinian,Western Asia
HGDP00730,0.10153990910084501,0.1293796173046065,-0.3174352583456049,Palestinian,Western Asia
HGDP00731,0.1001486118210079,0.12718585151788991,-0.31909900359017723,Palestinian,Western Asia
HGDP00732,0.10350537252310277,0.12870362560576953,-0.3155481234667982,Palestinian,Western Asia
HGDP00733,0.10597925218621984,0.13041834700092786,-0.3210180277610643,Palestinian,Western Asia
HGDP00734,0.10201157491383811,0.12833873804400392,-0.3216410665813169,Palestinian,Western Asia
HGDP00735,0.1015271445865536,0.12750468388547997,-0.31991271230161594,Palestinian,Western Asia
HGDP00736,0.10335504904151924,0.1284693948356468,-0.31815011497004414,Palestinian,Western Asia
HGDP00737,0.10274781166672359,0.12623280745482354,-0.31521420733841693,Palestinian,Western Asia
HGDP00739,0.10356127628954492,0.12850472917141992,-0.3194030053470524,Palestinian,Western Asia
HGDP00740,0.10176951655881517,0.12888735043850416,-0.3185879005017979,Palestinian,Western Asia
HGDP00741,0.10126437038967567,0.13063705325314373,-0.31916501841180334,Palestinian,Western Asia
HGDP00744,0.09906093031863633,0.12714760501705677,-0.3145230013455851,Palestinian,Western Asia
HGDP00745,0.10534815658562793,0.13017624247629261,-0.3219103019126417,Palestinian,Western Asia
HGDP00747,0.09891210017309424,0.1282153529696848,-0.3222628385667246,Japanese,East Asia
HGDP00748,0.09999675479495482,0.12967675732793277,-0.3243396518390859,Japanese,East Asia
HGDP00749,0.09795997741399123,0.12831240068521418,-0.31964995411052616,Japanese,East Asia
HGDP00750,0.10024681332542357,0.12967458458845108,-0.31788747394614497,Japanese,East Asia
HGDP00751,0.10116494458722389,0.13216202526879328,-0.3169921306412785,Japanese,East Asia
HGDP00752,0.09954776937308255,0.1276485782671593,-0.32053595555539816,Japanese,East Asia
HGDP00753,0.10208977376738679,0.13178791757811276,-0.3230572739480316,Japanese,East Asia
HGDP00754,0.09922085560830804,0.1277388393331304,-0.31928528817418717,Japanese,East Asia
HGDP00755,0.10116494458722411,0.1321620252687934,-0.31699213064127874,Japanese,East Asia
HGDP00756,0.09918362888915361,0.12995027049359895,-0.323166993669815,Japanese,East Asia
HGDP00757,0.09944358190348815,0.13003418157825578,-0.32066818921119306,Japanese,East Asia
HGDP00758,0.09909748338267257,0.130061371294174,-0.32332300595148095,Japanese,East Asia
HGDP00759,0.09918362888915361,0.12995027049359895,-0.323166993669815,Japanese,East Asia
HGDP00760,0.09819491160203245,0.12791229741003873,-0.32363202656622153,Japanese,East Asia
HGDP00761,0.10120537310878999,0.13260425262698833,-0.31780625812654456,Japanese,East Asia
HGDP00762,0.09977457573357904,0.12942995393784376,-0.3191961232122171,Japanese,East Asia
HGDP00763,0.10368639417305137,0.1282968966128014,-0.31976014467203995,Japanese,East Asia
HGDP00764,0.09588298843918541,0.1317419046073317,-0.317504965688729,Japanese,East Asia
HGDP00766,0.09816411051244184,0.12807784910907216,-0.3207656195411024,Japanese,East Asia
HGDP00767,0.09977457573357904,0.12942995393784376,-0.3191961232122171,Japanese,East Asia
HGDP00768,0.09995447621632733,0.12707000870572113,-0.3229915433690163,Japanese,East Asia
HGDP00769,0.10102805790762803,0.1344925370556095,-0.3207098017607533,Japanese,East Asia
HGDP00771,0.09920824779826268,0.13015498986417146,-0.32072133640136136,Japanese,East Asia
HGDP00772,0.09805801537131537,0.12758022743012512,-0.3236153517774249,Japanese,East Asia
HGDP00773,0.09944358190348815,0.13003418157825578,-0.32066818921119306,Japanese,East Asia
HGDP00774,0.09966207773156363,0.13226011376748237,-0.3233210180214137,Han,East Asia
HGDP00775,0.09858529282466288,0.13030928015728366,-0.32093703111200467,Han,East Asia
HGDP00776,0.09918362888915361,0.12995027049359895,-0.323166993669815,Han,East Asia
HGDP00777,0.09883790694952455,0.12997396017327262,-0.3232841968799577,Han,East Asia
HGDP00779,0.0992103223362377,0.12928449206597378,-0.3217687666826979,Han,East Asia
HGDP00780,0.1009472785699757,0.12891294968043662,-0.326183497509568,Han,East Asia
HGDP00781,0.10092744708611492,0.12743745927587014,-0.3242657280571743,Han,East Asia
HGDP00782,0.09918362888915361,0.12995027049359895,-0.323166993669815,Han,East Asia
HGDP00783,0.10027913475843975,0.13187061704867642,-0.3217110567049722,Han,East Asia
HGDP00784,0.10017458025746212,0.12962726700439958,-0.32384612422386183,Han,East Asia
HGDP00785,0.10273273584076464,0.13150480859152228,-0.32119101517684545,Han,East Asia
HGDP00786,0.10068040544660353,0.1289920082381693,-0.3225900673374198,Han,East Asia
HGDP00787,0.097680201610547,0.12790674713669223,-0.32399627324805264,Melanesian,Oceania
HGDP00788,0.09948435202336742,0.12568195743342692,-0.31830295717096596,Melanesian,Oceania
HGDP00790,0.09819491160203245,0.12791229741003873,-0.32363202656622153,Japanese,East Asia
HGDP00791,0.10037881644521932,0.12930152616012472,-0.32018444770872573,Japanese,East Asia
HGDP00794,0.10333348591827815,0.1252127461821557,-0.32102963379172916,Orcadian,Europe
HGDP00796,0.10023553323771123,0.12710551722562424,-0.32031424777108997,Orcadian,Europe
HGDP00797,0.10327654671092798,0.1259892360425412,-0.3166370756392775,Orcadian,Europe
HGDP00798,0.10325976234330073,0.1243650838631222,-0.3228332064247356,Orcadian,Europe
HGDP00799,0.09790954799583093,0.1264112146297475,-0.3220198201734574,Orcadian,Europe
HGDP00800,0.10466460246241588,0.13044942342098612,-0.3174137927463212,Orcadian,Europe
