seqid,x,y,z
BOI139-08,-0.21406462205490637,-0.15381101799710084,0.14131802652948933
BON210-07,-0.21441206378840003,-0.14631794318572416,0.13556441850053533
BON325-07,-0.23952359102759346,-0.35503569045155564,0.08620882650734023
BROMB974-08,-0.24167270150916992,-0.352557224802539,0.08490067739192159
CDANS020-05,-0.23988110129717813,-0.35063910619777283,0.08467803414491014
CDANS021-05,-0.2397131152552731,-0.3538511394303559,0.08579478956928815
GBIR1651-09,-0.2224508054370032,-0.1450838858229415,0.1360554478112171
GBIR1652-09,-0.2224508054370032,-0.1450838858229415,0.1360554478112171
KBPBK070-08,-0.22971425603160733,-0.3469768766700241,0.07516754762609734
KBPBK175-08,-0.24058701066228283,-0.35550974700277593,0.08603466434884739
KBPBK212-08,-0.2404471748028818,-0.3572757503256437,0.08513768303718576
KBPBK254-08,-0.23887107943964678,-0.3585492484457025,0.08682639979292647
KBPBK281-08,-0.24167270150916992,-0.352557224802539,0.08490067739192159
KBPBU722-06,-0.2158538382091489,-0.15070987345966622,0.14189939027762963
KBPBU724-06,-0.22113861926465295,-0.14283906865656384,0.13752995751934477
BOM151-07,-0.20745165812425062,-0.10136994855336419,0.06766924914051885
BOM484-07,-0.23009231563924143,-0.24453751635993456,0.061967566932308114
GBIR1653-09,-0.22204735556514277,-0.15401140971047625,0.13130101383266038
GBIR1654-09,-0.22204735556514277,-0.15401140971047625,0.13130101383266038
GBIR3484-13,-0.18898611642616436,-0.22420270907041684,0.05970885768530227
KBAR247-06,-0.22753978972328753,-0.24043474779117174,0.050811316546329234
YIO199-10,-0.20409391006196032,-0.1322353248838924,0.0629176577301989
YIO200-10,-0.2169089288926011,-0.16655054002580072,0.06171135205904586
YIO287-10,-0.2373804579091317,-0.3577078423440504,0.060691776259811814
YIO348-10,-0.1291964236370975,-0.21407733637361717,0.11598599116722827
YIO359-10,-0.2383510340897465,-0.3545599612225914,0.05323660039040255
YIO449-10,-0.2517755668510315,-0.3648943546820695,0.07519955480669344
YIO495-10,-0.2169089288926011,-0.16655054002580072,0.06171135205904586
YIO496-10,-0.2373804579091317,-0.3577078423440504,0.060691776259811814
KBPBR005-06,-0.2299379570013099,-0.13165585027767482,0.11528245306880772
KBPBR010-06,-0.2299379570013099,-0.13165585027767482,0.11528245306880772
KBPBR014-06,-0.23108913810151624,-0.12779872919454427,0.11808459170057539
KBPBR016-06,-0.2299379570013099,-0.13165585027767482,0.11528245306880772
KBPBR037-06,-0.23520355637880216,-0.14448342403067665,0.13028379454118927
KBPBR039-06,-0.23439246018180002,-0.12488834863417604,0.1299059563173742
KBPBR045-06,-0.2299379570013099,-0.13165585027767482,0.11528245306880772
KBPBR062-06,-0.22830268820305946,-0.12834080961390196,0.11329535126602154
KBPBR064-06,-0.23406884623473415,-0.12721394629630955,0.13015440307840756
KBPZM027-06,-0.22928897771518728,-0.131698380569137,0.11503360781690006
YIO112-10,-0.16359084744964633,-0.1324660166626369,0.03087284680451148
YIO220-10,-0.21164072505746848,-0.1414247212311766,0.1199678841707827
YIO361-10,-0.21164072505746848,-0.1414247212311766,0.1199678841707827
KBPBR078-07,-0.2418406580332324,-0.14672394635096442,0.141317465690481
KBPBR097-07,-0.2418406580332324,-0.14672394635096442,0.141317465690481
KBPBR113-07,-0.23648940279632438,-0.14469844675467194,0.140127744127196
KBPBR128-07,-0.24250004235885098,-0.1468430016492161,0.14425638016530626
KBPBR245-07,-0.24143825604478225,-0.14459359445832323,0.1405075502071805
KBPBR268-07,-0.24245629199656368,-0.1433586515602643,0.14109728226368137
YIO306-10,-0.22363695730919686,-0.13710924708905806,0.12455241836730963
YIO604-17,-0.22409633660517728,-0.13697602322638636,0.12872782542692723
GBIR532-07,-0.22181998454368423,-0.14261921484567258,0.11322994464658949
GBIR4691-13,-0.2307616425581561,-0.12653233503525707,0.12673613851926627
GBIR4692-13,-0.23102873475639502,-0.1235272022003299,0.12025604226931554
GBIR4693-13,-0.23494427656955602,-0.1298248043887663,0.11867870715669372
GBIR4694-13,-0.2321262770170626,-0.12973798257457023,0.12774065037952317
GBIR4695-13,-0.23150550694912908,-0.12993614077119334,0.13010973274336107
GBIR4696-13,-0.22795055018081742,-0.1315123197683156,0.12902649187740492
GBIR4697-13,-0.2307616425581561,-0.12653233503525707,0.12673613851926627
GBIR4698-13,-0.22758989626100212,-0.13336854929655254,0.11548199860403027
GBIR4699-13,-0.2321262770170626,-0.12973798257457023,0.12774065037952317
GBIR4700-13,-0.2307616425581561,-0.12653233503525707,0.12673613851926627
GBIR4701-13,-0.23092097987219637,-0.1309235618006186,0.1236356433743676
GBIR4702-13,-0.2321262770170626,-0.12973798257457023,0.12774065037952317
GBIR4703-13,-0.2321262770170626,-0.12973798257457023,0.12774065037952317
GBIR4704-13,-0.2307616425581561,-0.12653233503525707,0.12673613851926627
GBIR4705-13,-0.2321262770170626,-0.12973798257457023,0.12774065037952317
GBIR4706-13,-0.22969818356634336,-0.13945524650002833,0.11528803686068854
GBIR4707-13,-0.22758989626100212,-0.13336854929655254,0.11548199860403027
GBIR4708-13,-0.22758989626100212,-0.13336854929655254,0.11548199860403027
GBIR4709-13,-0.23413796226304562,-0.12531630815462694,0.12405017227646202
GBIR4710-13,-0.2307616425581561,-0.12653233503525707,0.12673613851926627
GBIR4711-13,-0.23150550694912908,-0.12993614077119334,0.13010973274336107
GBIR4712-13,-0.232556716036287,-0.13178036637679663,0.13007765668779905
GBIR4713-13,-0.2321262770170626,-0.12973798257457023,0.12774065037952317
GBIR4714-13,-0.2321262770170626,-0.12973798257457023,0.12774065037952317
GBIR4715-13,-0.2307616425581561,-0.12653233503525707,0.12673613851926627
GBIR4716-13,-0.2307616425581561,-0.12653233503525707,0.12673613851926627
GBIR4717-13,-0.2307616425581561,-0.12653233503525707,0.12673613851926627
GBIR4718-13,-0.233480772097056,-0.125638170709702,0.12052093046864462
GBIR4719-13,-0.2307616425581561,-0.12653233503525707,0.12673613851926627
GBIR4720-13,-0.2307616425581561,-0.12653233503525707,0.12673613851926627
GBIR4721-13,-0.2321262770170626,-0.12973798257457023,0.12774065037952317
GBIR4722-13,-0.23138658940080928,-0.13248924228507683,0.12915425001956596
