taxon,x,y,z
Euphonia chlorotica,-0.00631392833189562,0.26140091870073123,0.1318815528046538
Tachyphonus coronatus,0.008254167798408096,0.24880856944765,0.20877754450866187
Cardinalis cardinalis,-0.0016260605096459874,0.25268349781102006,0.20160533944802075
Diglossa sittoides,0.012134995946599798,0.24294592937647194,0.2050643054037334
Diglossa cyanea,0.010934548268797428,0.24494968474801337,0.19963477304084998
Hemispingus melanotis,0.00874508557827469,0.2483417985613304,0.20509184204673572
Tetrastes bonasia,-0.04159298039707686,-0.03145912533023325,0.016402433016186258
Pheucticus melanocephalus,0.00451353584495767,0.2532670401207201,0.18845840182826726
Troglodytes aedon,-0.0017079035347574724,0.16164644705864376,0.07870540900643204
Lepidocolaptes affinis,0.06337844606485356,0.36272282139201173,-0.08157097280186866
