,x,y,z
Anthicidae,-193.28218595988372,26.57432149290441,88.17858666480946
Anthocoridae-1,-13.463424586987554,177.39091193323003,-163.18427644862763
Anthocoridae-2,-7.871004596536018,184.88776703541737,-155.76811848642222
Anthocoridae-3,31.863293837640917,179.48381625217243,-157.66369941390528
Anthocoridae-4,-0.7006248063903195,177.28002051786106,-163.66822415229728
Anthocoridae-5,42.24731109447951,169.74430255288834,-164.06327680214332
Anthomyiidae,189.9623379256125,-12.47143279527891,105.08763948239456
Anthomyzidae,182.54042475227695,28.84735976217164,116.84443505661497
Anthribidae,-174.93276341307214,100.66143070354404,94.00108103982826
Apachyidae,-205.3846880913414,-183.00393806579643,-20.970572171768186
Apataniidae,119.51106690796358,-157.33234001840967,50.194042393532094
Apatelodidae,22.674798562214907,-169.59455074875714,121.86779011276195
Aphelinidae,58.495928653713705,225.14319474189728,62.997518503252174
Aphelocheiridae,-58.223867505187215,143.51841669144665,-183.09992121032408
Aphididae-1,-34.7591376995103,233.2550954010359,-88.10877534620798
Aphididae-2,-34.23722556309222,227.42001623885156,-100.02972201717975
Aphididae-3,-26.121068928277495,232.63843105138736,-91.93493652822163
Aphididae-4,-28.672055412392435,228.26091939588918,-99.99264578355462
Aphididae-5,-13.797552494098086,230.42989327354712,-98.74588689652661
Aphrophoridae-1,-145.64701540987573,127.76885732851079,-145.88214309966804
Aphrophoridae-2,-137.4168914810466,137.72974250307965,-146.29613774141998
Aphrophoridae-3,-129.23356362454308,135.69507904934326,-154.21220403671765
Aphrophoridae-4,-129.01792998394814,142.4641591511159,-149.67678972809
Aphrophoridae-5,-138.21221455841874,128.3491214358883,-151.68762425369005
Apidae,96.62464308481232,214.93003882609247,20.92656031028609
Apioceridae,166.01459621575577,31.55979771873857,142.4028968727971
Apionidae,-166.60075972929195,116.00753693408122,80.46542541896049
Apsilocephalidae,170.46084030008475,58.3797636960884,116.39638055361705
Apteropanorpidae,175.89955664602428,-70.39805791549493,-0.7572626906045775
Aradidae,-7.64125648040544,145.00837671975344,-187.2295413885211
Archeocrypticidae,-191.80428681325833,60.093935393102555,95.95854591899405
Argidae,-15.105942733900182,238.13103057806995,48.45029403656246
Argiolestidae,237.65197389129,-129.97889738375963,-143.88695270737048
Argyresthiidae,3.7213498081226515,-144.89006438649008,154.07830739489143
Arrhenophanidae,89.16813089456424,-121.1049038413029,160.38576173184444
Artematopodidae,-144.9041741485975,-40.1461470502727,172.6706044227377
Arthropleidae,127.66758152352817,-11.336212352404113,-277.71845951887286
Aschiphasmatidae,-73.32038851788931,-204.21402527493004,-143.93910266391777
Asilidae,169.37211040993583,53.305579499748276,127.47978742971445
Asiopsocidae,203.90814781726564,81.35345230825736,-112.57320317215098
Aspidytidae,-36.83531559311196,70.60379355291106,224.86528768034663
Asteiidae,197.87262912052458,-3.8243629694717063,86.95638866934038
Asterolecaniidae,-103.86775076739309,222.04891835445102,-66.30930969031054
Atelestidae,181.42574204007258,49.269117139884905,97.82819296878611
Athaliidae,-11.06205304799231,238.05251512933378,52.02894510137611
Athericidae,140.77865158814947,57.04011678654609,156.65752378539233
Atriplectididae,124.03656769082899,-161.8457415385321,68.3488329907015
Attelabidae,-167.62551187753346,111.46228336779035,94.3580003681495
Attevidae,3.5074718080876632,-146.54752460694658,155.4782686689553
