,x,y
Coraciidae,-29.55785008577153,16.958091419665845
Corcoracidae,29.799548858540767,20.643957257149605
Corvidae,32.03591066467315,18.063412440785935
Cotingidae,36.23287292153693,-7.30701559093104
Cracidae,-75.90369652737427,-18.71245125712171
Cuculidae,-44.92244255977623,-14.254149380992057
Dasyornithidae,19.270663838976784,8.915669356429099
Dicaeidae,11.729426116828458,34.46918552508494
Dicruridae,34.927435820156084,25.68800869292809
Dinornithidae,-58.788545558213386,80.89856772469639
Diomedeidae,28.92682455749727,-47.55395109206245
Dromadidae,3.3223868399611463,-46.490907183078164
Emberizidae,17.078227807318566,37.4634060761261
Emeidae,-69.72045277430273,71.5133662644397
Estrildidae,22.271429167910558,35.81945534399034
Eurylaimidae,30.479174380507754,-9.645055076665509
Eurypygidae,-20.397027920314006,-28.885818731845703
Falconidae,44.26578171863695,-23.72699223800541
Formicariidae,13.216856893676136,-10.71730137461187
Fregatidae,25.862651828351552,-35.30531979101287
Fringillidae,15.261958562634549,37.01464346735737
Furnariidae,27.205505656261693,-9.630956475471672
Galbulidae,-40.19202348134852,6.070547346848108
Gaviidae,41.45423313037968,-32.47698328633875
Glareolidae,5.71789758828049,-53.83222721553158
Gruidae,-36.719977316941126,-23.283015690405925
Haematopodidae,-15.156590792293294,-46.000849455118775
Heliornithidae,-29.491743096340194,-32.411954628313715
Hirundinidae,17.32182979347439,22.059723255185734
Hydrobatidae,22.361455841748572,-49.69295598542934
Icteridae,19.19083425664222,36.76730052817656
Indicatoridae,-39.852137953153175,12.298690519932661
Irenidae,12.248353354849558,37.39824593622079
Jacanidae,-7.524670708319584,-49.61236754346688
Laniidae,31.174344032052748,23.713107037985573
Laridae,2.464929397412013,-51.31226748004242
Leiothrichidae,7.085909119765113,21.297242400460124
Locustellidae,8.556169731990362,23.66925622829291
Lybiidae,-35.69762024543081,17.425918998935924
Malaconotidae,31.661893214551924,26.4394161642219
Maluridae,0.9254905600367929,29.818415793632848
Megalaimidae,-38.55506453951104,16.59049784735069
Megapodiidae,-74.02204237323525,-26.500147362936797
Melanocharitidae,31.87848869940322,15.395780147171928
Meliphagidae,31.162148527927954,34.09453166465503
Menuridae,-1.4899322273707327,16.703897486138025
Meropidae,-30.08743732110887,5.793427480824064
Mimidae,20.79043150487327,27.813884113638323
Momotidae,-35.03848346589375,-0.7705528388711055
Monarchidae,36.41480472966445,21.730686056301753
Motacillidae,5.751017381639849,-7.309296234003578
Muscicapidae,7.045767852651934,32.43023423531322
Musophagidae,52.65869672237469,-26.76888768114688
Nectariniidae,14.532026723368926,30.83292236229861
Numididae,-72.2232313233005,-31.693664220846273
Nyctibiidae,56.657653003792966,-20.06256104470087
Odontophoridae,-76.89017110731741,-11.877813777310116
Otididae,-35.836899077729655,33.633075742688504
Pachycephalidae,50.9512969510421,9.841765853895362
Paradisaeidae,28.905435876908626,17.177572510371174
Pardalotidae,2.850048165047029,35.14598894501085
Paridae,6.346011044739219,28.341017232411858
Parulidae,18.388502186321542,37.23663887244699
Passeridae,20.604744619816476,34.33974631013986
Pedionomidae,-7.082250885480475,-53.479681234492396
Pelecanidae,27.19973967186139,-41.3549385055849
Pellorneidae,11.223834758526976,20.929609374317817
Petroicidae,49.92717000521434,3.45991664322998
Phaethontidae,-37.11390887901478,27.67573567415814
Phalacrocoracidae,36.515421258515765,-41.60595827174979
Phasianidae,-77.18508804898109,0.9600623367778864
Phoenicopteridae,-39.347126026130326,-35.93927524439112
Phoeniculidae,-26.88353648134033,-13.542787276152119
Phylloscopidae,10.018917892805836,16.81960621336063
Picathartidae,21.40426619351287,14.223107925570622
Picidae,-36.886891597813396,11.885886874971856
Pipridae,23.306530066344926,-10.075045714553564
Pittidae,43.76192288801542,-0.46333044090688313
Platysteiridae,34.581045200514374,17.29871351493458
Ploceidae,18.34365213616059,32.61148571172175
Podargidae,46.25889018117771,-36.18493076778948
Podicipedidae,-37.03342691570838,-40.11521955065883
Procellariidae,25.28187765248609,-48.06770610203886
Psittacidae,-21.03254525922625,37.43041764950798
Psittaculidae,-20.263436573635165,39.224724803898496
Psophiidae,-32.925171542588686,-27.218739951599375
Pteroclidae,-43.03783755840219,-28.83335700197883
Ptilonorhynchidae,24.140001287748547,8.092601580146061
Pycnonotidae,15.525014714511189,16.364353546742326
