,x_present,y_present,z_present,x_split,y_split,z_split
branch_Psittacidae,-0.0890146776605001,-0.6886232063392842,-0.7210299475021282,-0.09026479522859829,-0.6893082694772539,-0.7198665185085713
branch_Psittaculidae,-0.08759488926741552,-0.6901534415774367,-0.719773154118712,-0.08913869012743567,-0.6904482070039033,-0.7189520852963254
branch_Psophiidae,-0.09234614044540501,-0.6888144598347063,-0.709583787029915,-0.09234614123977654,-0.6888144610277804,-0.7095837901600013
branch_Pteroclidae,-0.09739310605470555,-0.6848214132888223,-0.7153831611283716,-0.09661349362457838,-0.6863570459833496,-0.715605753099892
branch_Ptilonorhynchidae,-0.09375022022174889,-0.6987968451127057,-0.7159533665883079,-0.09378419367381845,-0.6979829606270936,-0.715995284626277
branch_Pycnonotidae,-0.09912513520104214,-0.696795283125029,-0.7158514656035222,-0.09912513520104216,-0.696795283125029,-0.7158514656035222
branch_Rallidae,-0.08898450823481278,-0.6891557274258396,-0.7113954909691255,-0.09050563484082297,-0.689824735153006,-0.7128759999473223
branch_Ramphastidae,-0.08788563645095566,-0.6910411909709382,-0.7122240985484757,-0.08788564189516804,-0.6910411912765486,-0.7122241021735052
branch_Recurvirostridae,-0.09093911568132074,-0.6847715568014285,-0.7150602413716054,-0.09093911741170965,-0.6847715604704095,-0.715060242078495
branch_Rheidae,-0.09374397847398737,-0.6893472373427053,-0.7092024637152867,-0.09377401911080073,-0.6895415188038432,-0.7098815604214136
branch_Rhinocryptidae,-0.09127368519164179,-0.6981916951698438,-0.7173749369473899,-0.09127368731898328,-0.6981916899741176,-0.7173749361532279
branch_Rhipiduridae,-0.09709308379621327,-0.6945204819346595,-0.7223448857161596,-0.0970930810384066,-0.6945204790867338,-0.7223448802525988
branch_Rhynochetidae,-0.090235252048177,-0.6855941751284806,-0.7189703680273801,-0.09023525677632366,-0.6855941822914496,-0.7189703647690634
branch_Rostratulidae,-0.08919741129277865,-0.6872595472372456,-0.7125331421199698,-0.0891974117789862,-0.6872595476500664,-0.7125331425001512
branch_Sagittariidae,-0.08680154703501604,-0.6904778653818637,-0.7176117243691315,-0.08680155429295322,-0.6904778662917571,-0.7176117230923703
branch_Scolopacidae,-0.08922856485881919,-0.6862898892289642,-0.7139246384175718,-0.0911383764694621,-0.6883052313181646,-0.7148775119298851
branch_Sittidae,-0.09794714139403424,-0.6960784937162758,-0.7205798425152682,-0.09794713846063019,-0.6960784901769081,-0.7205798393123164
branch_Spheniscidae,-0.0896151029354462,-0.6854451431842262,-0.7165967129604658,-0.09070599888050358,-0.6869037857763968,-0.7165324649025094
branch_Stenostiridae,-0.09790557131736968,-0.6973580981351879,-0.7185025755700752,-0.09790556921951121,-0.6973580948786436,-0.7185025743877418
branch_Stercorariidae,-0.09197485282714368,-0.6857004737203437,-0.7120402136215056,-0.0919748553097575,-0.6857004804933764,-0.712040218736154
branch_Strigidae,-0.08707868823080121,-0.6916265215275462,-0.7138156029899085,-0.09008013237638784,-0.6915238643368696,-0.7148988182869707
branch_Struthionidae,-0.09306664468364362,-0.6888800761295146,-0.7094167550132285,-0.09306664586603412,-0.6888800791159344,-0.7094167632521738
branch_Sturnidae,-0.09892227938010532,-0.6948923957983625,-0.7207175000682166,-0.09892227893803435,-0.6948923954797596,-0.7207174996698045
branch_Sulidae,-0.08798696892963893,-0.6871728627080367,-0.7156314677988792,-0.09034468785152165,-0.6888093392202219,-0.7159046064196614
branch_Sylviidae,-0.09821217849656583,-0.6972503050994188,-0.7144583759512849,-0.09775627833453206,-0.6966066890022234,-0.7146643958160592
branch_Thamnophilidae,-0.09173200176272087,-0.6983374920358156,-0.715143401129238,-0.09217822399479907,-0.6970051024063966,-0.7153718448833802
branch_Thinocoridae,-0.08858858918656565,-0.6874229128162989,-0.7132551874196449,-0.08858859072836392,-0.6874229139336635,-0.7132551882875803
branch_Thraupidae,-0.09975134561332123,-0.6892061564801413,-0.720575153584909,-0.09945067928285269,-0.6893213974593057,-0.7203511697611992
branch_Threskiornithidae,-0.08896905413707193,-0.6860287938959742,-0.7156245210282194,-0.09083152146252806,-0.687989508788975,-0.7158844539247146
branch_Timaliidae,-0.0985586964547933,-0.6958545079441645,-0.7124695849496898,-0.09855869522773922,-0.6958545067259619,-0.7124695860038822
