x,y,z,order,family,genus,species,order_eng,family_eng,genus_eng,species_eng
-0.08668507937443003,-0.6916915805774295,-0.7155216183971997,Accipitriformes,Accipitridae,Ictinia,Ictinia mississippiensis,hawks and eagles,Accipitridae,Ictinia,Ictinia mississippiensis
-0.08663990803874871,-0.691641756180407,-0.7161898564921643,Accipitriformes,Accipitridae,Accipiter,Accipiter bicolor,hawks and eagles,Accipitridae,Accipiter,Accipiter bicolor
-0.08677040486028684,-0.6920744370353632,-0.7150966244147421,Accipitriformes,Accipitridae,Buteogallus,Buteogallus urubitinga,hawks and eagles,Accipitridae,Buteogallus,great black-hawk
-0.08666359587803757,-0.6913403189348415,-0.7156759732401895,Accipitriformes,Accipitridae,Geranospiza,Geranospiza caerulescens,hawks and eagles,Accipitridae,Geranospiza,Geranospiza caerulescens
-0.08671235268280353,-0.6917433481265854,-0.7153206161835604,Accipitriformes,Accipitridae,Parabuteo,Parabuteo unicinctus,hawks and eagles,Accipitridae,Parabuteo,Harris's hawk
-0.08671003376159701,-0.6916336305258589,-0.7153050067487167,Accipitriformes,Accipitridae,Parabuteo,Parabuteo leucorrhous,hawks and eagles,Accipitridae,Parabuteo,white-rumped hawk
-0.08669936874168221,-0.6914841051753988,-0.7153576699506464,Accipitriformes,Accipitridae,Geranoaetus,Geranoaetus polyosoma,hawks and eagles,Accipitridae,Geranoaetus,Geranoaetus polyosoma
-0.0867773828051314,-0.6922698939121713,-0.7151823467154239,Accipitriformes,Accipitridae,Rostrhamus,Rostrhamus sociabilis,hawks and eagles,Accipitridae,Rostrhamus,Rostrhamus sociabilis
-0.08674499109394553,-0.6902910763802733,-0.7156783355911128,Accipitriformes,Accipitridae,Elanus,Elanus leucurus,hawks and eagles,Accipitridae,Elanus,Elanus leucurus
-0.08671836860030831,-0.69090666881931,-0.7153288530430304,Accipitriformes,Accipitridae,Buteo,Buteo nitidus,hawks and eagles,Accipitridae,hawks,grey-lined hawk
-0.08672693805602903,-0.6902375867372684,-0.7161192062955976,Accipitriformes,Accipitridae,Leptodon,Leptodon cayanensis,hawks and eagles,Accipitridae,Leptodon,Leptodon cayanensis
-0.08673874740037155,-0.6919592615829998,-0.7152322920626204,Accipitriformes,Accipitridae,Buteogallus,Buteogallus coronatus,hawks and eagles,Accipitridae,Buteogallus,Buteogallus coronatus
-0.0866416333829945,-0.6913038703601482,-0.7166576564025108,Accipitriformes,Accipitridae,Nisaetus,Nisaetus bartelsi,hawks and eagles,Accipitridae,Nisaetus,Nisaetus bartelsi
-0.08677237739390936,-0.6923376090699556,-0.715271221460316,Accipitriformes,Accipitridae,Milvus,Milvus milvus,hawks and eagles,Accipitridae,Milvus,red kite
-0.08667086048880762,-0.6918249897320555,-0.7157410338227517,Accipitriformes,Accipitridae,Harpagus,Harpagus bidentatus,hawks and eagles,Accipitridae,Harpagus,Harpagus bidentatus
-0.08675161688600709,-0.6915686499497223,-0.7150318745329185,Accipitriformes,Accipitridae,Leucopternis,Leucopternis semiplumbeus,hawks and eagles,Accipitridae,Leucopternis,Leucopternis semiplumbeus
-0.08666117464509156,-0.6919457724248443,-0.7166338230676901,Accipitriformes,Accipitridae,Accipiter,Accipiter nisus wolterstorffi,hawks and eagles,Accipitridae,Accipiter,Accipiter nisus wolterstorffi
-0.0867804354839732,-0.6928070289475488,-0.7159650866229705,Accipitriformes,Accipitridae,Accipiter,Accipiter badius,hawks and eagles,Accipitridae,Accipiter,Shikra
-0.08675582550996527,-0.6904651039269841,-0.7153649318667579,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus vocifer,hawks and eagles,Accipitridae,Haliaeetus,Haliaeetus vocifer
-0.08672443811859444,-0.6902626465972264,-0.7165936132383042,Accipitriformes,Accipitridae,Gypaetus,Gypaetus barbatus,hawks and eagles,Accipitridae,Gypaetus,Laemmergeier
