,x0,xup,y0,yup,z0,zup
branch_Apterygidae,-0.0930936539891763,-0.09379847289592888,-0.6898865076598716,-0.6910857346313365,-0.7098145982514253,-0.714547126623473
branch_Emeidae,-0.09517069603112135,-0.09506987367406149,-0.689794547265145,-0.6898727756170402,-0.7095120145307057,-0.7098221493319531
branch_Dinornithidae,-0.09511513673835416,-0.09506987367406149,-0.6897285541905745,-0.6898727756170402,-0.7091747661454857,-0.7098221493319531
branch_Anatidae,-0.09592343559955907,-0.09561475923786601,-0.6875134869353894,-0.6889909189693809,-0.7136182852080697,-0.7148289847664843
branch_Anseranatidae,-0.098424010612583,-0.09561475923786601,-0.6861241031400902,-0.6889909189693809,-0.713440033348723,-0.7148289847664843
branch_Cracidae,-0.09505400230689097,-0.09522088904588712,-0.6881417587330322,-0.6896057051630236,-0.7114960819332793,-0.713897332426781
branch_17,-0.09635465656641147,-0.09522088904588712,-0.6891199765160233,-0.6896057051630236,-0.7135236165686794,-0.713897332426781
branch_18,-0.09144798405204027,-0.0919399848372234,-0.6905346509579844,-0.6900293172273554,-0.7164818914267459,-0.7152996921725042
branch_19,-0.09275123621751044,-0.0919399848372234,-0.6898424834743382,-0.6900293172273554,-0.7144708337686162,-0.7152996921725042
branch_20,-0.09333087336076043,-0.0941046926611573,-0.6887893525752591,-0.6887246566643573,-0.716662266813118,-0.7160126827760633
branch_21,-0.09487992863663458,-0.0941046926611573,-0.6889328020453338,-0.6887246566643573,-0.7153910944548014,-0.7160126827760633
branch_Columbidae,-0.09567706376115835,-0.09539534641464567,-0.6869909372866111,-0.6883222646138454,-0.7166101598111044,-0.7162179058590655
branch_Pteroclidae,-0.09661349362457838,-0.09539534641464567,-0.6863570459833496,-0.6883222646138454,-0.715605753099892,-0.7162179058590655
branch_Phoenicopteridae,-0.0935985615858291,-0.09361888781435788,-0.6844391121332115,-0.6872820375505925,-0.7146326302478471,-0.7156225193403327
branch_Podicipedidae,-0.09306572439475151,-0.09361888781435788,-0.6846583581792979,-0.6872820375505925,-0.7156408743119866,-0.7156225193403327
branch_Numididae,-0.09757393144082818,-0.09635465656641147,-0.6882123548010436,-0.6891199765160233,-0.7127018423849901,-0.7135236165686794
branch_22,-0.09619212023156018,-0.09635465656641147,-0.6890578062983367,-0.6891199765160233,-0.7132190638591404,-0.7135236165686794
branch_23,-0.09126963716685543,-0.09144798405204027,-0.6918594611704774,-0.6905346509579844,-0.7160874734440216,-0.7164818914267459
branch_24,-0.09216995539019043,-0.09144798405204027,-0.6894401715080891,-0.6905346509579844,-0.7168303000032761,-0.7164818914267459
branch_Charadriiformes,-0.0926668829591184,-0.09275123621751044,-0.6889781572599583,-0.6898424834743382,-0.714952966372014,-0.7144708337686162
branch_Gruiformes,-0.09272101417972549,-0.09275123621751044,-0.6905116020695602,-0.6898424834743382,-0.7138726050187943,-0.7144708337686162
branch_25,-0.09364993342125502,-0.09333087336076043,-0.6887521348049811,-0.6887893525752591,-0.7168724910728366,-0.716662266813118
branch_Caprimulgidae,-0.09299786062525858,-0.09333087336076043,-0.6887936667367875,-0.6887893525752591,-0.7164532390809817,-0.716662266813118
branch_Cuculidae,-0.09559144621831175,-0.09487992863663458,-0.6883599671188978,-0.6889328020453338,-0.7153446484548727,-0.7153910944548014
branch_26,-0.09451367638539035,-0.09487992863663458,-0.6887375486921504,-0.6889328020453338,-0.715171829124205,-0.7153910944548014
branch_Odontophoridae,-0.09601865057951668,-0.09619212023156018,-0.6893480224993096,-0.6890578062983367,-0.712699411813222,-0.7132190638591404
branch_Phasianidae,-0.09659569057134046,-0.09619212023156018,-0.6885118093000712,-0.6890578062983367,-0.71343622579795,-0.7132190638591404
branch_27,-0.09131836265821612,-0.09126963716685543,-0.6918090738019051,-0.6918594611704774,-0.7157014235747282,-0.7160874734440216
branch_28,-0.09125793600099673,-0.09126963716685543,-0.6919079080379151,-0.6918594611704774,-0.7165168135000919,-0.7160874734440216
