,x,y
Belidae,247.0789665844321,-15.583220206710644
Belostomatidae,4.945754479225752,239.78323637944976
Beraeidae,-20.337488220525714,-123.31164882704337
Berothidae-1,92.40304802178262,74.74211305649237
Berothidae-2,88.53738142555977,68.0854215606659
Berytidae-1,38.932109269387325,227.7716667136471
Berytidae-2,67.03452745438727,254.9036344150447
Bethylidae,3.1183735940657473,82.39982663068703
Bibionidae,118.0301077333176,-158.2038688228256
Biphyllidae,232.8227560927509,27.38862279339997
Bittacidae,45.87909361474902,-78.98300229605958
Blaberidae,-211.68842143764311,122.22718807848067
Blasticotomidae,-84.35882247054319,-23.752187723189625
Blastobasidae,-1.53474410556208,-194.3966660738674
Blattidae,-223.6128073833252,133.1818926304188
Blephariceridae,176.33392556820266,-175.54111735318875
Blissidae,41.19302229127968,222.22678200184708
Boganiidae,234.60809728448797,-20.42023715217002
Bolboceratidae-1,204.57886589314504,78.93274224824893
Bolboceratidae-2,201.17611033795296,78.0579889921337
Bombycidae-1,-12.537226545043353,-230.05559928990525
Bombycidae-2,-13.580428859110933,-228.05354046094646
Bombyliidae-1,153.64969720863618,-200.66591461157557
Bombyliidae-2,159.82498274357508,-192.36381739692095
Bombyliidae-3,160.70688061513908,-191.37115953590947
Bombyliidae-4,156.69320197387347,-178.09220741186647
Boopidae,197.63114533311813,190.00659430066082
Boreidae,36.49388021829197,-78.62603066271649
Boridae,244.7539023582709,-52.61561521374
Bostrichidae,204.13865768619382,21.006301143867162
Bothrideridae-1,193.10544193774476,-53.083667918997804
Bothrideridae-2,194.70913589284567,-38.92813558561756
Bothrideridae-3,192.7525002477552,-47.77617832733687
Bothrideridae-4,187.3861074380841,-44.31846891762542
Bovicoliidae,153.83607694757072,202.60497943648122
Brachodidae,-30.73062673735391,-213.55958832582695
Brachycentridae,-0.7241522019235558,-126.83847410535758
Brachyceridae-1,257.46244832112075,-7.543572177593323
Brachyceridae-2,251.28152518739955,-0.2591860023381181
Brachyceridae-3,248.532942344341,2.31013023096893
Braconidae,-59.346859707307736,70.81567888457418
Bradynobaenidae,-9.250621469798137,55.36630506059741
Brahmaeidae,-19.625922974673824,-228.78984090820612
Braulidae,122.63623995554181,-217.02259950627467
Brentidae-1,256.38916103225097,-0.9222048992109061
Brentidae-2,256.95186185989587,-4.8808510104678975
Brentidae-3,253.0693016726848,-6.265885137661108
Brentidae-4,255.60670168610196,-8.996938061395909
Brentidae-5,249.25151248548914,-3.7471430977872786
Brentidae-6,246.56539531652956,-0.42166709038626254
Brentidae-7,248.4209856581235,-7.84064843806869
Bucculatricidae,-31.315330839239017,-201.68655327094072
Buprestidae,153.07585718424082,25.85042624976068
Byrrhidae,254.39692180914994,53.295240150922865
Byturidae,231.05006031127186,27.450483081285558
Caeciliusidae,171.27400139533836,201.92074137766613
Caenidae,-226.2140349100522,234.93412649382327
Calamoceratidae,-29.830494801190287,-120.20156935951003
Caliscelidae,-20.39492836336762,217.84013488521435
Callidulidae,-5.9146070381217655,-230.22876360356346
Calliphoridae-1,128.00809184570213,-192.57773961196864
Calliphoridae-2,130.252174077486,-192.4377255065429
Callirhipidae,163.24737157694693,49.72438491716583
Calocidae,-16.947428049384705,-120.81042246699234
Calopsocidae,180.64486687557525,197.15741364732136
Calopterygidae,-195.94337384849362,250.72469423024774
Canopidae,56.14483082843685,235.8181939072406
Cantharidae,242.07574168600652,67.19094816296295
Capniidae,-194.42008444040007,163.2167143414718
Carabidae,124.84929530310349,38.16489995129938
Caridae,243.31412840653246,-5.791804137506518
Carnidae,135.84200511716438,-203.5337358342735
Carposinidae,-58.514807748638795,-205.7462763955894
Carthaeidae,-12.925588760269408,-231.56529703887318
Castniidae,-16.350333600608568,-201.4998022077148
Cecidomyiidae,128.52972641873833,-155.0830795739814
Cecidosidae,-51.257855629254315,-178.54427045354004
Cephaloidae,237.48042355280649,-65.80756463975891
Cephidae,225.77586083370875,-145.65615269382278
Cerambycidae-1,245.9311459080753,-26.229582332857053
Cerambycidae-2,257.39053283390376,-27.938088840831956
Cerambycidae-3,253.45671098585044,-31.099129024895824
Cerambycidae-4,256.35334902202464,-30.97138837579767
Cerambycidae-5,254.41107850125812,-27.83074085333561
Cerambycidae-6,257.078977709633,-24.384519411128753
Ceraphronidae,-55.28629725191294,75.93382443197866
Ceratocombidae,12.904717207189426,268.50799099107076
Ceratophyllidae,60.96972862010059,-253.68069220364694
Ceratopogonidae,88.63154804945366,-238.34858677522885
Cercopidae-1,-38.00444337450097,261.6994593154148
Cercopidae-2,-36.7939115029347,264.26951211841583
Cercopidae-3,-36.22845533361964,264.2080647791486
Cercopidae-4,-37.15506159615705,263.7438809715832
Cercopidae-5,-36.61799249528216,260.35975567900607
