0,x,y
Microcebus tavaratra,-1998.8515905315207,-527.8591104875375
Microcebus sambiranensis,-2125.633479723036,-656.0742889533628
Microcebus arnholdi,-2070.7473177546385,-641.6372784498554
Microcebus mittermeieri,-2114.3910572305517,-542.574192505636
Microcebus berthae,-2155.333549135638,-338.73892780854703
Microcebus lehilahytsara,-2160.083830778527,-406.3585514720253
Microcebus myoxinus,-2068.253399944027,-371.38049391445173
Microcebus tanosi,-2088.8529548586316,-496.4650789224666
Tarsius bancanus,-687.3622656351013,-1038.9247326694501
Cephalopachus bancanus,-687.3622319477957,-1038.9248993374285
Tarsius wallacei,-886.9713139473397,-559.9957908092329
Tarsius lariang,-1002.1185495598733,-380.8039326819983
Tarsius dentatus,-929.3877509107995,-408.8799323102382
Perodicticus potto edwarsi,-382.13242484197195,-687.1158373101888
Papio cynocephalus,1718.082610676396,1155.678875071566
Rhinopithecus brelichi,363.28853977303777,-1907.988409998395
Macaca sylvanus,1372.944872961619,407.62914406502125
Macaca sinica,2129.5769539124467,497.5561095308863
Macaca fascicularis aureus,2066.43600446331,219.6582299308765
Macaca radiata,2065.685414540396,547.799168883299
Macaca leucogenys,2099.6359700474964,360.4307281981325
Macaca arctoides,1572.3830893835266,325.63927798983195
Macaca assamensis,2151.909219407991,166.57875362178777
Macaca thibetana,2136.097178052264,238.522249030094
Macaca leonina,1919.4729224581977,735.3568424837019
Macaca nemestrina,1686.6339073769911,370.94783762241275
Macaca silenus,2002.978224898479,676.6175292858535
Macaca mulatta,1822.5993824925208,396.88065449458674
Macaca fuscata,1879.629707723181,469.65716647894925
Macaca cyclopis,1951.5073651763264,380.540480323242
Macaca mulatta vestita,1863.5912535349728,559.6173303432595
Macaca nigra,1743.9124651424002,458.4310069246745
Macaca mulatta brevicaudus,1915.2528709171609,201.195025545386
Macaca mulatta lasiotus,1886.6827467094702,330.824637955751
Procolobus verus,292.7249061316373,-578.4199987880032
Piliocolobus badius,78.40524181247275,-1649.2169082368584
Colobus guereza,290.9824451022105,-301.40431732018476
Semnopithecus entellus,825.6113840633456,-1635.7650810005825
Trachypithecus vetulus,550.9280367927582,-1717.8975151485502
Trachypithecus johnii,800.313034051279,-1786.5857447250637
Pygathrix nigripes,908.5372604199114,-1887.8602475856344
Pygathrix nemaeus,904.9525676088246,-1770.747128868529
Presbytis melalophos,674.039324222212,-1905.542324971448
Presbytis femoralis femoralis,576.1299443086684,-1916.179318612535
Presbytis comata comata,584.6969383766777,-2040.5479967714562
Presbytis melalophos mitrata,675.1473092029752,-2026.3164200114893
Simias concolor,150.37909408049475,-1879.6138524851503
Nasalis larvatus,251.855985044669,-2017.4531833239666
Rhinopithecus avunculus,400.8233738432995,-1889.5780029937391
Rhinopithecus strykeri,651.481185333261,-1737.0949206511991
Rhinopithecus bieti,666.8055804863487,-1675.4414204097955
Rhinopithecus roxellana,298.5962191257845,-1859.8640886688574
Trachypithecus obscurus,491.9922415955072,-1444.171918972508
Trachypithecus phayrei phayrei,312.467500686398,-1578.4941737416775
Trachypithecus barbei,420.88104567034526,-1496.134105668969
Trachypithecus poliocephalus,324.2097103398932,-1386.327027685772
Trachypithecus francoisi,373.166506492526,-1327.9811453480854
Trachypithecus delacouri,222.69746698350676,-1433.5524712616182
Trachypithecus hatinhensis,206.98255908355003,-1350.9198044362176
Trachypithecus phayrei crepuscula,521.3481139183363,-1268.2567465807508
Trachypithecus cristatus,398.35474303830927,-1184.0091391031679
Trachypithecus germaini,355.67414913943026,-1078.827194421428
Trachypithecus auratus,254.86472145095252,-1157.6565709433294
Trachypithecus mauritius,230.48496223313424,-1101.242392327265
Macaca maura,1637.8763657656968,694.2134745014639
Macaca tonkeana,1970.7052416340248,800.7811416406482
Macaca fascicularis,1800.172704837496,220.4953499321635
Cercocebus torquatus,1309.1849226238671,1022.6014825245405
Mandrillus sphinx,1077.6637760396934,504.2354348988245
Cercocebus atys,1330.670203905001,792.1652434257277
Cercocebus atys atys,1271.3068963845092,888.6795654731992
Cercocebus chrysogaster,1155.6544065735504,693.949017847892
Mandrillus leucophaeus,1154.2302573552458,597.018128234257
Theropithecus gelada,1587.30970270711,1112.292038274796
Lophocebus aterrimus,1846.5932628760047,936.0804364834745
Papio anubis,1710.5588792620797,1205.5460854060784
Papio hamadryas,1706.5264939786061,1247.523941564676
Papio kindae,1766.20350857544,1219.9642429493276
Papio ursinus,1763.5326284205437,1104.1028069929039
Papio papio,1808.0383270600528,1179.2325762168634
Cercopithecus diana,1048.97155911985,-2.630985543383745
Allenopithecus nigroviridis,1349.2459919670812,48.085832505195505
Erythrocebus patas,1282.988702613263,-138.04387745967878
Chlorocebus pygerythrus,1611.0750349268362,-462.49123242077576
Chlorocebus djamdjamensis,1647.3807662890135,-784.2920352856088
Chlorocebus cynosuros,1621.7151270767843,-380.5553481449882
Chlorocebus sabaeus,1582.790622178578,-708.732049039686
Chlorocebus aethiops x Chlorocebus pygerythrus,1524.612957850468,-295.138240275444
Chlorocebus aethiops,1590.920859363572,-501.33947964002414
Chlorocebus tantalus,1580.6928302831072,-570.890708268155
Cercopithecus albogularis,2039.3061500323033,-501.32082895404045
Cercopithecus mitis,2001.1391238330486,-505.59165834777184
Allochrocebus lhoesti,1693.0985316708093,-1344.693465536746
Cercopithecus lhoesti,1689.2827565007565,-1357.095123658057
Lepilemur septentrionalis,-1384.8155383601386,-1539.1360761832566
Cercopithecus petaurista petaurista,1419.9297967261327,-1399.5330759186545
Lophocebus albigena,1730.866707456149,845.6865899201495
Miopithecus talapoin,755.974522621096,-171.46491884335197
Cercopithecus roloway,2066.4841785209037,-179.85605638035375
Cercopithecus neglectus,1286.4195043135758,-1662.5277801285285
Cercopithecus mona,1245.190679317338,-514.653968004681
Cercopithecus pogonias nigripes,1126.7372785136383,-530.8425254820987
Cercopithecus pogonias pogonias,1143.9872713055538,-615.9932019120815
Cercopithecus pogonias schwarzianus,1094.088385790541,-709.8797261815514
Cercopithecus nictitans martini,1189.8776665130524,-904.2525184291559
Cercopithecus denti,1218.534679980152,-845.2211846314609
Cercopithecus wolfi,1270.9674882948975,-882.1233659227372
Cercopithecus albogularis moloneyi,2001.5069297250036,-473.0449601733495
Cercopithecus mitis boutourlinii,2069.769483825586,-392.471987336714
Cercopithecus albogularis albotorquatus,2062.768416262049,-459.32105590054783
Cercopithecus mitis heymansi,1975.1932432178758,-688.9099758343492
Cercopithecus albogularis kolbi,1943.0089840014655,-398.998145068869
Cercopithecus doggetti,1926.5325165147924,-642.3581332927382
Cercopithecus mitis stuhlmanni,1946.4954767188879,-752.1399256716752
Cercopithecus kandti,1922.188430323592,-620.2118689943948
Cercopithecus mitis opisthostictus,1944.1167195639011,-882.3440896528859
Cercopithecus mitis mitis,2069.1347665761155,-621.3688205403565
Cercopithecus nictitans nictitans,1865.8905151229028,-909.2930725619658
Cercopithecus erythrotis erythrotis,1721.7221947841167,-1178.3398049223483
Cercopithecus erythrotis camerunensis,1632.5559466676825,-1166.330784573352
Cercopithecus erythrogaster pococki,1369.2779100386304,-1469.264598594298
Cercopithecus cephus,1571.4558964692835,-1392.091953746943
Cercopithecus cephus ngottoensis,1686.1169847586402,-1238.182349518054
Cercopithecus ascanius schmidti,1500.5583070867053,-1267.4549742082518
Cercopithecus ascanius katangae,1452.351113791239,-1284.395457349167
Cercopithecus ascanius ascanius,1488.9436216642405,-1200.7793999308697
Cercopithecus preussi insularis,1543.0211213459536,-1552.3164042979186
Miopithecus ogouensis,719.4957254114921,-119.86266490100274
Cercopithecus ascanius,1500.705558682664,-1326.5421851549195
Eulemur macaco,-1518.21569866849,-1126.4019386863556
Eulemur fulvus,-1654.2206165204896,-1217.520218923962
Varecia rubra,-1854.419586578572,-856.0591412835624
Colobus satanas,352.8324226402275,-147.32624311417527
Colobus polykomos,163.23847598992302,-2051.1660606192
Cercocebus agilis,1155.6544065735425,693.9490178478865
Rungwecebus kipunji,1717.9935691347332,1018.622382752576
Cercopithecus campbelli,1068.8888777622371,-346.8969186399447
Cercopithecus pogonias,1174.4629762633358,-701.4123243275234
Cercopithecus hamlyni,2078.842983756795,-832.7028826881275
Cercopithecus nictitans,1858.9751149998972,-823.4102233996987
Cercopithecus erythrogaster,1397.7840006095182,-1528.818836387052
Galagoides demidoff,-1348.8344055845475,347.18819117273125
Otolemur garnettii,-350.0243923266295,99.89840625605548
Cercopithecus petaurista,1469.9034609308844,-1466.945988717962
