taxon,x,y,z
Lophocebus albigena,-5.11777,-4.8649173,-7.398561
Lophocebus aterrimus,-4.9247785,-4.610771,-7.390554
Loris lydekkerianus,4.235724,6.2768497,1.8668736
Loris tardigradus,4.221689,6.4514213,1.8532254
Macaca arctoides,-4.719509,-5.012872,-6.754768
Macaca assamensis,-5.1700673,-5.3434668,-6.1669273
Macaca cyclopis,-4.3827443,-5.580677,-6.543289
Macaca fascicularis,-4.6337876,-5.2651196,-6.5191317
Macaca fascicularis aureus,-5.027855,-5.294004,-6.2507515
Macaca fuscata,-4.361626,-5.5047855,-6.920699
Macaca leonina,-5.1443315,-5.2833767,-6.745496
Macaca leucogenys,-4.8047895,-5.062182,-6.1780243
Macaca maura,-4.797215,-4.9446797,-6.5625443
Macaca mulatta,-4.465226,-5.316722,-6.816169
Macaca mulatta brevicaudus,-4.7025094,-5.6820707,-6.594039
Macaca mulatta lasiotus,-4.550998,-5.6169224,-6.755377
Macaca mulatta vestita,-4.268489,-5.605976,-6.7519655
Macaca nemestrina,-5.023751,-4.8425984,-6.590667
Macaca nigra,-4.7736773,-5.4384375,-6.892014
Macaca radiata,-4.9837494,-5.1936874,-6.24372
Macaca silenus,-5.2415223,-5.12896,-6.6265726
Macaca sinica,-4.908095,-5.407345,-6.1997375
Macaca sylvanus,-4.8488355,-5.149663,-6.7125673
Macaca thibetana,-5.269399,-5.259218,-6.302795
Macaca tonkeana,-5.4052978,-5.334428,-6.9726667
Mandrillus leucophaeus,-5.0420327,-5.115763,-8.066727
Mandrillus sphinx,-4.8267016,-5.2629104,-8.132632
Megaladapis edwardsi,4.998204,6.9627953,2.542089
Microcebus arnholdi,4.886004,8.06567,0.6052379
Microcebus berthae,4.255282,8.070103,0.12534076
Microcebus bongolavensis,5.160695,7.5367103,0.4518414
Microcebus danfossi,5.003183,7.5068583,0.108328044
Microcebus griseorufus,4.610147,7.2975183,0.33189672
Microcebus jollyae,4.688035,7.5833664,0.056956112
Microcebus lehilahytsara,4.520087,8.110203,0.3970093
Microcebus mamiratra,4.8643847,7.742487,-0.08202857
Microcebus margotmarshae,4.999068,7.8552976,0.14246505
Microcebus mittermeieri,4.34773,7.9307475,0.037387073
Microcebus murinus,4.470735,7.2982616,0.21194488
Microcebus myoxinus,4.2097106,8.084257,0.3095749
Microcebus ravelobensis,5.082031,7.430591,0.32087117
Microcebus rufus,4.392732,7.7474346,0.5951882
Microcebus sambiranensis,4.8242736,7.8136787,0.53748065
Microcebus simmonsi,4.338474,7.8149204,0.049797
Microcebus tanosi,4.2095857,7.54287,0.2690304
Microcebus tavaratra,4.5121818,7.663614,0.19096214
Miopithecus ogouensis,-6.9005218,-6.992052,-8.9281025
Miopithecus talapoin,-6.901508,-6.8190665,-8.776096
Mirza coquereli,4.588625,7.176098,0.87794745
Mirza zaza,4.337295,7.233121,0.8213094
Nasalis larvatus,-4.1566815,-0.2373339,-1.1464888
Nomascus concolor,-1.6971812,-2.6686692,-6.1896625
Nomascus gabriellae,-1.5428447,-2.7314217,-6.3035064
Nomascus leucogenys,-1.5202463,-2.8261015,-6.1154866
Nomascus siki,-1.3888346,-2.6781743,-6.0418153
Nycticebus bengalensis,3.6316943,6.33171,1.8024403
Nycticebus coucang,3.4520788,6.358456,1.7543817
Nycticebus javanicus,3.5062642,6.3949466,1.5666648
Nycticebus menagensis,3.6136642,6.067832,1.6621057
Nycticebus pygmaeus,3.0355792,6.1157045,1.4385071
Otolemur crassicaudatus,4.1667485,6.4149137,2.1726494
Otolemur garnettii,4.2298093,6.637624,2.3982472
Palaeopropithecus ingens,5.459669,6.7314234,2.1719449
Pan paniscus,-1.5507329,-3.1077552,-5.3955655
Pan troglodytes,-1.685399,-2.9527752,-5.0924463
Pan troglodytes ellioti,-1.777523,-3.2068098,-5.366088
Pan troglodytes schweinfurthii,-1.7987736,-2.9385283,-5.4831085
Pan troglodytes troglodytes,-1.7667395,-2.8565943,-5.2718167
Pan troglodytes verus,-1.7249535,-3.1072223,-5.18108
Papio anubis,-4.9733677,-4.45238,-7.808767
Papio cynocephalus,-4.9515357,-4.584791,-8.078109
Papio hamadryas,-5.164248,-4.7123256,-7.9664555
Papio kindae,-5.1146607,-4.3018184,-8.096761
Papio papio,-5.2801356,-4.4446836,-8.139312
Papio ursinus,-5.272459,-4.247343,-7.898919
Perodicticus potto,4.0306125,6.0747156,1.4423023
Perodicticus potto edwarsi,3.8545315,6.185144,1.4241611
Phaner electromontis,4.0742064,7.8333764,1.2633601
Phaner pallescens,3.910214,7.570781,1.17403
Phaner parienti,4.0737824,7.653701,1.100698
Piliocolobus badius,-3.6909642,-0.5503504,-2.0896094
Pithecia pithecia,1.5847076,3.1042755,4.7528024
Plecturocebus bernhardi,1.4513406,1.992916,5.356208
Plecturocebus brunneus,1.0243001,1.8283477,5.1331944
Plecturocebus cinerascens,1.0151322,1.9321201,5.374522
Plecturocebus cupreus,0.95272833,2.2218893,5.3973536
Plecturocebus donacophilus,1.1610674,1.9846596,5.037588
Plecturocebus miltoni,1.1379473,2.0356479,5.642947
Plecturocebus moloch,1.1312582,2.239084,5.1267533
Plecturocebus vieirai,1.2279499,2.2607782,5.3972473
Pongo abelii,-2.2796612,-2.5617917,-5.43001
Pongo pygmaeus,-2.014469,-2.4665892,-5.5550165
Presbytis comata comata,-3.7800477,0.14929128,-1.1799554
Presbytis femoralis femoralis,-3.8503387,-0.09979009,-1.15584
Presbytis melalophos,-3.7875586,0.045005683,-1.4726245
Presbytis melalophos mitrata,-4.0118694,-0.059955355,-1.2222042
Procolobus verus,-3.6421742,-0.18413544,-1.8053302
Prolemur simus,4.893481,7.7993765,2.2762122
Propithecus coquereli,5.1774893,7.070198,1.7040442
Propithecus diadema,5.275039,7.046437,2.1653008
Propithecus edwardsi,5.2420087,6.863335,1.9750196
Propithecus tattersalli,5.393887,7.2416744,1.8478497
Propithecus verreauxi,5.420955,6.8996277,1.7460076
Pygathrix nemaeus,-4.238526,0.01220322,-1.5362408
Pygathrix nigripes,-4.310164,-0.15660524,-1.647427
Rhinopithecus avunculus,-4.72741,0.08136941,-1.612895
Rhinopithecus bieti,-4.62691,0.10488809,-1.2917851
Rhinopithecus brelichi,-4.74501,-0.01949596,-1.7756419
Rhinopithecus roxellana,-4.5547986,-0.096765034,-1.3223258
Rhinopithecus strykeri,-4.83325,-0.14366162,-1.4414991
Rungwecebus kipunji,-5.2391953,-4.515881,-7.7244196
Saguinus geoffroyi,2.2555463,2.4436243,4.7060475
Saguinus leucopus,1.8420658,2.5896885,4.338978
Saguinus midas,1.7695601,2.4847417,4.372875
Saguinus oedipus,1.9456123,2.5030162,4.4601293
